titulo,donde,expediente,descripcion,link,datos_tabla
SUBASTA SUB-AT-2023-22R1586001135,U.R. SUBASTAS GALICIA - A CORUŃA,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-22R1586001135&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TTZVQXpZZ0JlODF6Vm8vaEhiUm1PM1UwYWIrekxqZy95ektRNFByN2R0c1NrRlFRb3EyWkFVa3RDRHlyMjgvOXlocmpDODJSVkY4Z1FKNUd5cUJpODdNazN5QTl6WDRzeUFEZlhRYzNoUHJQZDd6cnd1Ym91TVVUaGhOcE1TcUg4cXpTMXJsWUNneERTZlAyb2ZWbEU5UE8zQXVMWnpoc0JnT1lTVG14cmE1TlAwZm5CNjlOUWVYbXdabjJLVFQrRlQwcld6MmtwVjZhTkdncnN1Mm9SRnEycHkzUnBseGpXSVNveFRYSzNrMXBZRHpLeHhMZkxWYlNETUpuVk9PNVZQb21NZ2NBeGJXOUF6NzBBU3hKVkU9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-22R1586001135</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9649</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>37.653,45 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>109.114,20 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.000,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>1.882,67 €</td>
</tr>
</table>"
SUBASTA SUB-AT-2023-23R1586001004,U.R. SUBASTAS GALICIA - A CORUŃA,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-23R1586001004&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TTZVQXpZZ0JlODF6Vm8vaEhiUm1PM1UwYWIrekxqZy95ektRNFByN2R0c1NrRlFRb3EyWkFVa3RDRHlyMjgvOXlocmpDODJSVkY4Z1FKNUd5cUJpODdNazN5QTl6WDRzeUFEZlhRYzNoUHJQZDd6cnd1Ym91TVVUaGhOcE1TcUg4cXpTMXJsWUNneERTZlAyb2ZWbEU5UE8zQXVMWnpoc0JnT1lTVG14cmE1TlAwZm5CNjlOUWVYbXdabjJLVFQrRlQwcld6MmtwVjZhTkdncnN1Mm9SRnEycHkzUnBseGpXSVNveFRYSzNrMXBZRHpLeHhMZkxWYlNETUpuVk9PNVZQb21NZ2NBeGJXOUF6NzBBU3hKVkU9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-23R1586001004</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9590</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>41.363,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>41.363,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.000,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>2.068,15 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2022-201361,JUZGADO de 1a INSTANCIA 5 - FERROL,Expediente: 0250/17,Expediente: 0250/17,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-201361&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TTZVQXpZZ0JlODF6Vm8vaEhiUm1PM1UwYWIrekxqZy95ektRNFByN2R0c1NrRlFRb3EyWkFVa3RDRHlyMjgvOXlocmpDODJSVkY4Z1FKNUd5cUJpODdNazN5QTl6WDRzeUFEZlhRYzNoUHJQZDd6cnd1Ym91TVVUaGhOcE1TcUg4cXpTMXJsWUNneERTZlAyb2ZWbEU5UE8zQXVMWnpoc0JnT1lTVG14cmE1TlAwZm5CNjlOUWVYbXdabjJLVFQrRlQwcld6MmtwVjZhTkdncnN1Mm9SRnEycHkzUnBseGpXSVNveFRYSzNrMXBZRHpLeHhMZkxWYlNETUpuVk9PNVZQb21NZ2NBeGJXOUF6NzBBU3hKVkU9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-201361</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>4797 0000 06 0250 17</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>66.977,66 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9443</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>102.516,59 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.050,33 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>5.125,82 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2022-207076,JUZGADO de 1a INST E INSTRUCC. 2 - CARBALLO,Expediente: 0019/13,Expediente: 0019/13,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-207076&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TTZVQXpZZ0JlODF6Vm8vaEhiUm1PM1UwYWIrekxqZy95ektRNFByN2R0c1NrRlFRb3EyWkFVa3RDRHlyMjgvOXlocmpDODJSVkY4Z1FKNUd5cUJpODdNazN5QTl6WDRzeUFEZlhRYzNoUHJQZDd6cnd1Ym91TVVUaGhOcE1TcUg4cXpTMXJsWUNneERTZlAyb2ZWbEU5UE8zQXVMWnpoc0JnT1lTVG14cmE1TlAwZm5CNjlOUWVYbXdabjJLVFQrRlQwcld6MmtwVjZhTkdncnN1Mm9SRnEycHkzUnBseGpXSVNveFRYSzNrMXBZRHpLeHhMZkxWYlNETUpuVk9PNVZQb21NZ2NBeGJXOUF6NzBBU3hKVkU9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-207076</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1518 0000 06 0019 13</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>131.986,58 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9425</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>248.000,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>4.960,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>12.400,00 €</td>
</tr>
</table>"
SUBASTA SUB-AT-2023-22R1586001178,U.R. SUBASTAS GALICIA - A CORUŃA,Estado: Celebrándose - [Conclusión prevista: 17/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 17/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-22R1586001178&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TTZVQXpZZ0JlODF6Vm8vaEhiUm1PM1UwYWIrekxqZy95ektRNFByN2R0c1NrRlFRb3EyWkFVa3RDRHlyMjgvOXlocmpDODJSVkY4Z1FKNUd5cUJpODdNazN5QTl6WDRzeUFEZlhRYzNoUHJQZDd6cnd1Ym91TVVUaGhOcE1TcUg4cXpTMXJsWUNneERTZlAyb2ZWbEU5UE8zQXVMWnpoc0JnT1lTVG14cmE1TlAwZm5CNjlOUWVYbXdabjJLVFQrRlQwcld6MmtwVjZhTkdncnN1Mm9SRnEycHkzUnBseGpXSVNveFRYSzNrMXBZRHpLeHhMZkxWYlNETUpuVk9PNVZQb21NZ2NBeGJXOUF6NzBBU3hKVkU9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-22R1586001178</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>28-03-2023 18:00:00 CET  (ISO: 2023-03-28T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">17-04-2023 18:00:00 CET </strong> (ISO: 2023-04-17T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8675</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>19.529,19 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>44.636,46 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>500,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>976,45 €</td>
</tr>
</table>"
SUBASTA SUB-AT-2023-22R1586001175,U.R. SUBASTAS GALICIA - A CORUŃA,Estado: Celebrándose - [Conclusión prevista: 17/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 17/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-22R1586001175&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TTZVQXpZZ0JlODF6Vm8vaEhiUm1PM1UwYWIrekxqZy95ektRNFByN2R0c1NrRlFRb3EyWkFVa3RDRHlyMjgvOXlocmpDODJSVkY4Z1FKNUd5cUJpODdNazN5QTl6WDRzeUFEZlhRYzNoUHJQZDd6cnd1Ym91TVVUaGhOcE1TcUg4cXpTMXJsWUNneERTZlAyb2ZWbEU5UE8zQXVMWnpoc0JnT1lTVG14cmE1TlAwZm5CNjlOUWVYbXdabjJLVFQrRlQwcld6MmtwVjZhTkdncnN1Mm9SRnEycHkzUnBseGpXSVNveFRYSzNrMXBZRHpLeHhMZkxWYlNETUpuVk9PNVZQb21NZ2NBeGJXOUF6NzBBU3hKVkU9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-22R1586001175</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>28-03-2023 18:00:00 CET  (ISO: 2023-03-28T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">17-04-2023 18:00:00 CET </strong> (ISO: 2023-04-17T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8674</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>282.846,87 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>282.846,87 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.000,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>14.142,34 €</td>
</tr>
</table>"
SUBASTA SUB-AT-2023-22R1586001037,U.R. SUBASTAS GALICIA - A CORUŃA,Estado: Celebrándose - [Conclusión prevista: 17/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 17/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-22R1586001037&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TTZVQXpZZ0JlODF6Vm8vaEhiUm1PM1UwYWIrekxqZy95ektRNFByN2R0c1NrRlFRb3EyWkFVa3RDRHlyMjgvOXlocmpDODJSVkY4Z1FKNUd5cUJpODdNazN5QTl6WDRzeUFEZlhRYzNoUHJQZDd6cnd1Ym91TVVUaGhOcE1TcUg4cXpTMXJsWUNneERTZlAyb2ZWbEU5UE8zQXVMWnpoc0JnT1lTVG14cmE1TlAwZm5CNjlOUWVYbXdabjJLVFQrRlQwcld6MmtwVjZhTkdncnN1Mm9SRnEycHkzUnBseGpXSVNveFRYSzNrMXBZRHpLeHhMZkxWYlNETUpuVk9PNVZQb21NZ2NBeGJXOUF6NzBBU3hKVkU9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-22R1586001037</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>28-03-2023 18:00:00 CET  (ISO: 2023-03-28T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">17-04-2023 18:00:00 CET </strong> (ISO: 2023-04-17T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8655</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>12.575,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>12.575,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>500,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>628,75 €</td>
</tr>
</table>"
SUBASTA SUB-RC-2023-15006001148,Diputación Provincial de A Coruńa - A Coruńa,Estado: Celebrándose - [Conclusión prevista: 10/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 10/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-RC-2023-15006001148&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TTZVQXpZZ0JlODF6Vm8vaEhiUm1PM1UwYWIrekxqZy95ektRNFByN2R0c1NrRlFRb3EyWkFVa3RDRHlyMjgvOXlocmpDODJSVkY4Z1FKNUd5cUJpODdNazN5QTl6WDRzeUFEZlhRYzNoUHJQZDd6cnd1Ym91TVVUaGhOcE1TcUg4cXpTMXJsWUNneERTZlAyb2ZWbEU5UE8zQXVMWnpoc0JnT1lTVG14cmE1TlAwZm5CNjlOUWVYbXdabjJLVFQrRlQwcld6MmtwVjZhTkdncnN1Mm9SRnEycHkzUnBseGpXSVNveFRYSzNrMXBZRHpLeHhMZkxWYlNETUpuVk9PNVZQb21NZ2NBeGJXOUF6NzBBU3hKVkU9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-RC-2023-15006001148</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>RECAUDACIÓN TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>21-03-2023 18:00:00 CET  (ISO: 2023-03-21T18:00:00+01:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">10-04-2023 18:00:00 CET </strong> (ISO: 2023-04-10T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>56.650,77 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8064</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>79.639,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>79.639,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.000,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>3.981,95 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-207239 (2 lotes),JUZGADO de 1a INST E INSTRUCC. 2 - CARBALLO,Expediente: 0141/13,Expediente: 0141/13,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-207239&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TTZVQXpZZ0JlODF6Vm8vaEhiUm1PM1UwYWIrekxqZy95ektRNFByN2R0c1NrRlFRb3EyWkFVa3RDRHlyMjgvOXlocmpDODJSVkY4Z1FKNUd5cUJpODdNazN5QTl6WDRzeUFEZlhRYzNoUHJQZDd6cnd1Ym91TVVUaGhOcE1TcUg4cXpTMXJsWUNneERTZlAyb2ZWbEU5UE8zQXVMWnpoc0JnT1lTVG14cmE1TlAwZm5CNjlOUWVYbXdabjJLVFQrRlQwcld6MmtwVjZhTkdncnN1Mm9SRnEycHkzUnBseGpXSVNveFRYSzNrMXBZRHpLeHhMZkxWYlNETUpuVk9PNVZQb21NZ2NBeGJXOUF6NzBBU3hKVkU9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-207239</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1518 0000 06 0141 13</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>21-03-2023 18:00:00 CET  (ISO: 2023-03-21T18:00:00+01:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">10-04-2023 18:00:00 CET </strong> (ISO: 2023-04-10T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>288.285,03 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>2</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-7767</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210311,JUZGADO de 1a INST E INSTRUCC. 2 - CARBALLO,Expediente: 0096/20,Expediente: 0096/20,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210311&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TTZVQXpZZ0JlODF6Vm8vaEhiUm1PM1UwYWIrekxqZy95ektRNFByN2R0c1NrRlFRb3EyWkFVa3RDRHlyMjgvOXlocmpDODJSVkY4Z1FKNUd5cUJpODdNazN5QTl6WDRzeUFEZlhRYzNoUHJQZDd6cnd1Ym91TVVUaGhOcE1TcUg4cXpTMXJsWUNneERTZlAyb2ZWbEU5UE8zQXVMWnpoc0JnT1lTVG14cmE1TlAwZm5CNjlOUWVYbXdabjJLVFQrRlQwcld6MmtwVjZhTkdncnN1Mm9SRnEycHkzUnBseGpXSVNveFRYSzNrMXBZRHpLeHhMZkxWYlNETUpuVk9PNVZQb21NZ2NBeGJXOUF6NzBBU3hKVkU9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210311</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1518 0000 06 0096 20</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>21-03-2023 18:00:00 CET  (ISO: 2023-03-21T18:00:00+01:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">10-04-2023 18:00:00 CET </strong> (ISO: 2023-04-10T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>37.689,15 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-7766</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>73.248,65 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.464,97 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>3.662,43 €</td>
</tr>
</table>"
