titulo,donde,expediente,descripcion,link,datos_tabla
SUBASTA SUB-JA-2023-207909,JUZGADO de 1a INSTANCIA 4 - ALMERIA,Expediente: 1366/21,Expediente: 1366/21,"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-207909&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2S2RzaTd5bU5OelpHVmJyUGR1a1BWeFk1azExRi9lVlhoRFMvZVBSRkQzWGMrQ2FuekFmQ2FiR1RlZFU2M1JrdHo2U3g2TlF6V2ZkV1BQWDN6MzlmTFkxcDlrUkRIVWkxckFuSlpBREpuTFp3cUxycXpZVE9JRUZ2UjIveGJBbmI0d1NLK2s0Y3B1eTVBQUpJQjBQVXhBRWV3L1JKU2pIWno0RUFIRGluaVNXYXNTZWdFc2NJby8rdUdLeXA5NTFiNDN2dlJxdHcxRHJBMjRRNzRyRFJaVG05ZlljNHUvVC9pNG1BQTJRc3FyWDBHK2FCdFBxN0l3cHhuSEtUSTFNeUdJbFZ1QTFHVTRmbU5QNm5UK2I2MVZNc1ZidnhLTWtrbmJnVTBDZHhZckU,--500","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-207909</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>0235 0000 05 1366 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>185.025,78 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9941</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>219.803,60 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>4.396,07 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>10.990,18 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2022-202117,JUZGADO 1 INST E INSTRUCC. 4 - VERA,Expediente: 0176/19,Expediente: 0176/19,"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-202117&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2S2RzaTd5bU5OelpHVmJyUGR1a1BWeFk1azExRi9lVlhoRFMvZVBSRkQzWGMrQ2FuekFmQ2FiR1RlZFU2M1JrdHo2U3g2TlF6V2ZkV1BQWDN6MzlmTFkxcDlrUkRIVWkxckFuSlpBREpuTFp3cUxycXpZVE9JRUZ2UjIveGJBbmI0d1NLK2s0Y3B1eTVBQUpJQjBQVXhBRWV3L1JKU2pIWno0RUFIRGluaVNXYXNTZWdFc2NJby8rdUdLeXA5NTFiNDN2dlJxdHcxRHJBMjRRNzRyRFJaVG05ZlljNHUvVC9pNG1BQTJRc3FyWDBHK2FCdFBxN0l3cHhuSEtUSTFNeUdJbFZ1QTFHVTRmbU5QNm5UK2I2MVZNc1ZidnhLTWtrbmJnVTBDZHhZckU,--500","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-202117</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>5350 0000 06 0176 19</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>3.537.882,03 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9989</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>4.663.012,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>93.260,24 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>233.150,60 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-211216,JUZGADO de 1a INST E INSTRUCC. 4 - ROQUETAS DE MAR,Expediente: 0306/21,Expediente: 0306/21,"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-211216&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2S2RzaTd5bU5OelpHVmJyUGR1a1BWeFk1azExRi9lVlhoRFMvZVBSRkQzWGMrQ2FuekFmQ2FiR1RlZFU2M1JrdHo2U3g2TlF6V2ZkV1BQWDN6MzlmTFkxcDlrUkRIVWkxckFuSlpBREpuTFp3cUxycXpZVE9JRUZ2UjIveGJBbmI0d1NLK2s0Y3B1eTVBQUpJQjBQVXhBRWV3L1JKU2pIWno0RUFIRGluaVNXYXNTZWdFc2NJby8rdUdLeXA5NTFiNDN2dlJxdHcxRHJBMjRRNzRyRFJaVG05ZlljNHUvVC9pNG1BQTJRc3FyWDBHK2FCdFBxN0l3cHhuSEtUSTFNeUdJbFZ1QTFHVTRmbU5QNm5UK2I2MVZNc1ZidnhLTWtrbmJnVTBDZHhZckU,--500","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-211216</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3577 0000 06 0306 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>06-04-2023 18:00:00 CET  (ISO: 2023-04-06T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">26-04-2023 18:00:00 CET </strong> (ISO: 2023-04-26T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>23.719,89 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9818</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>36.261,90 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>725,23 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>1.813,09 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210719,JUZGADO de 1a INSTANCIA 2 - ALMERIA,Expediente: 1313/21,Expediente: 1313/21,"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210719&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2S2RzaTd5bU5OelpHVmJyUGR1a1BWeFk1azExRi9lVlhoRFMvZVBSRkQzWGMrQ2FuekFmQ2FiR1RlZFU2M1JrdHo2U3g2TlF6V2ZkV1BQWDN6MzlmTFkxcDlrUkRIVWkxckFuSlpBREpuTFp3cUxycXpZVE9JRUZ2UjIveGJBbmI0d1NLK2s0Y3B1eTVBQUpJQjBQVXhBRWV3L1JKU2pIWno0RUFIRGluaVNXYXNTZWdFc2NJby8rdUdLeXA5NTFiNDN2dlJxdHcxRHJBMjRRNzRyRFJaVG05ZlljNHUvVC9pNG1BQTJRc3FyWDBHK2FCdFBxN0l3cHhuSEtUSTFNeUdJbFZ1QTFHVTRmbU5QNm5UK2I2MVZNc1ZidnhLTWtrbmJnVTBDZHhZckU,--500","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210719</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>0224 0000 05 1313 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>170.339,45 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9396</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>160.000,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>3.200,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>8.000,00 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-211160,JUZGADO de 1a INST E INSTRUCC. 3 - VERA,Expediente: 1015/15,Expediente: 1015/15,"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-211160&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2S2RzaTd5bU5OelpHVmJyUGR1a1BWeFk1azExRi9lVlhoRFMvZVBSRkQzWGMrQ2FuekFmQ2FiR1RlZFU2M1JrdHo2U3g2TlF6V2ZkV1BQWDN6MzlmTFkxcDlrUkRIVWkxckFuSlpBREpuTFp3cUxycXpZVE9JRUZ2UjIveGJBbmI0d1NLK2s0Y3B1eTVBQUpJQjBQVXhBRWV3L1JKU2pIWno0RUFIRGluaVNXYXNTZWdFc2NJby8rdUdLeXA5NTFiNDN2dlJxdHcxRHJBMjRRNzRyRFJaVG05ZlljNHUvVC9pNG1BQTJRc3FyWDBHK2FCdFBxN0l3cHhuSEtUSTFNeUdJbFZ1QTFHVTRmbU5QNm5UK2I2MVZNc1ZidnhLTWtrbmJnVTBDZHhZckU,--500","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-211160</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3533 0000 06 1015 15</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>193.105,17 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9527</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>246.900,50 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>4.938,01 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>12.345,02 €</td>
</tr>
</table>"
SUBASTA SUB-AT-2023-23R4186001044,U.R. SUBASTAS ANDALUCIA 41 - SEVILLA,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-23R4186001044&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2S2RzaTd5bU5OelpHVmJyUGR1a1BWeFk1azExRi9lVlhoRFMvZVBSRkQzWGMrQ2FuekFmQ2FiR1RlZFU2M1JrdHo2U3g2TlF6V2ZkV1BQWDN6MzlmTFkxcDlrUkRIVWkxckFuSlpBREpuTFp3cUxycXpZVE9JRUZ2UjIveGJBbmI0d1NLK2s0Y3B1eTVBQUpJQjBQVXhBRWV3L1JKU2pIWno0RUFIRGluaVNXYXNTZWdFc2NJby8rdUdLeXA5NTFiNDN2dlJxdHcxRHJBMjRRNzRyRFJaVG05ZlljNHUvVC9pNG1BQTJRc3FyWDBHK2FCdFBxN0l3cHhuSEtUSTFNeUdJbFZ1QTFHVTRmbU5QNm5UK2I2MVZNc1ZidnhLTWtrbmJnVTBDZHhZckU,--500","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-23R4186001044</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9623</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>128.046,80 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>128.046,80 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.000,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>6.402,34 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2022-194618,JUZGADO de 1a INST E INSTRUCC. 3 - VERA,Expediente: 0255/13,Expediente: 0255/13,"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-194618&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2S2RzaTd5bU5OelpHVmJyUGR1a1BWeFk1azExRi9lVlhoRFMvZVBSRkQzWGMrQ2FuekFmQ2FiR1RlZFU2M1JrdHo2U3g2TlF6V2ZkV1BQWDN6MzlmTFkxcDlrUkRIVWkxckFuSlpBREpuTFp3cUxycXpZVE9JRUZ2UjIveGJBbmI0d1NLK2s0Y3B1eTVBQUpJQjBQVXhBRWV3L1JKU2pIWno0RUFIRGluaVNXYXNTZWdFc2NJby8rdUdLeXA5NTFiNDN2dlJxdHcxRHJBMjRRNzRyRFJaVG05ZlljNHUvVC9pNG1BQTJRc3FyWDBHK2FCdFBxN0l3cHhuSEtUSTFNeUdJbFZ1QTFHVTRmbU5QNm5UK2I2MVZNc1ZidnhLTWtrbmJnVTBDZHhZckU,--500","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-194618</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3533 0000 06 0255 13</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>131.749,40 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9526</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>236.722,11 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>4.734,44 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>11.836,10 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210160 (2 lotes),JUZGADO de 1a INST E INSTRUCC. 1 - PURCHENA,Expediente: 0546/09,Expediente: 0546/09,"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210160&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2S2RzaTd5bU5OelpHVmJyUGR1a1BWeFk1azExRi9lVlhoRFMvZVBSRkQzWGMrQ2FuekFmQ2FiR1RlZFU2M1JrdHo2U3g2TlF6V2ZkV1BQWDN6MzlmTFkxcDlrUkRIVWkxckFuSlpBREpuTFp3cUxycXpZVE9JRUZ2UjIveGJBbmI0d1NLK2s0Y3B1eTVBQUpJQjBQVXhBRWV3L1JKU2pIWno0RUFIRGluaVNXYXNTZWdFc2NJby8rdUdLeXA5NTFiNDN2dlJxdHcxRHJBMjRRNzRyRFJaVG05ZlljNHUvVC9pNG1BQTJRc3FyWDBHK2FCdFBxN0l3cHhuSEtUSTFNeUdJbFZ1QTFHVTRmbU5QNm5UK2I2MVZNc1ZidnhLTWtrbmJnVTBDZHhZckU,--500","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210160</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>0255 0000 05 0546 09</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>31-03-2023 18:00:00 CET  (ISO: 2023-03-31T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">20-04-2023 18:00:00 CET </strong> (ISO: 2023-04-20T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>12.414,19 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>2</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8986</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
SUBASTA SUB-JA-2023-209755 (3 lotes),JUZGADO de 1a INSTANCIA 5 - ALMERIA,Expediente: 0567/18,Expediente: 0567/18,"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-209755&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2S2RzaTd5bU5OelpHVmJyUGR1a1BWeFk1azExRi9lVlhoRFMvZVBSRkQzWGMrQ2FuekFmQ2FiR1RlZFU2M1JrdHo2U3g2TlF6V2ZkV1BQWDN6MzlmTFkxcDlrUkRIVWkxckFuSlpBREpuTFp3cUxycXpZVE9JRUZ2UjIveGJBbmI0d1NLK2s0Y3B1eTVBQUpJQjBQVXhBRWV3L1JKU2pIWno0RUFIRGluaVNXYXNTZWdFc2NJby8rdUdLeXA5NTFiNDN2dlJxdHcxRHJBMjRRNzRyRFJaVG05ZlljNHUvVC9pNG1BQTJRc3FyWDBHK2FCdFBxN0l3cHhuSEtUSTFNeUdJbFZ1QTFHVTRmbU5QNm5UK2I2MVZNc1ZidnhLTWtrbmJnVTBDZHhZckU,--500","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-209755</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>0241 0000 06 0567 18</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>31-03-2023 18:00:00 CET  (ISO: 2023-03-31T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">20-04-2023 18:00:00 CET </strong> (ISO: 2023-04-20T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>403.738,69 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>3</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8945</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210513,JUZGADO de 1a INSTANCIA 2 - ALMERIA,Expediente: 2009/15,Expediente: 2009/15,"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210513&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2S2RzaTd5bU5OelpHVmJyUGR1a1BWeFk1azExRi9lVlhoRFMvZVBSRkQzWGMrQ2FuekFmQ2FiR1RlZFU2M1JrdHo2U3g2TlF6V2ZkV1BQWDN6MzlmTFkxcDlrUkRIVWkxckFuSlpBREpuTFp3cUxycXpZVE9JRUZ2UjIveGJBbmI0d1NLK2s0Y3B1eTVBQUpJQjBQVXhBRWV3L1JKU2pIWno0RUFIRGluaVNXYXNTZWdFc2NJby8rdUdLeXA5NTFiNDN2dlJxdHcxRHJBMjRRNzRyRFJaVG05ZlljNHUvVC9pNG1BQTJRc3FyWDBHK2FCdFBxN0l3cHhuSEtUSTFNeUdJbFZ1QTFHVTRmbU5QNm5UK2I2MVZNc1ZidnhLTWtrbmJnVTBDZHhZckU,--500","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210513</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>0224 0000 06 2009 15</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>30-03-2023 18:00:00 CET  (ISO: 2023-03-30T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">19-04-2023 18:00:00 CET </strong> (ISO: 2023-04-19T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>80.583,01 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8733</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>112.631,06 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.252,62 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>5.631,55 €</td>
</tr>
</table>"
