titulo,donde,expediente,descripcion,link,datos_tabla
SUBASTA SUB-JA-2023-209870 (9 lotes),JUZGADO de 1a INST E INSTRUCC. 2 - GRAU/GRADO-GRADO,Expediente: 0028/16,Expediente: 0028/16,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-209870&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXcDk0bDRSeXdqMm4wek4yTkx4S01iTmFZemhqSlhUek13SnZkSHlGYnlZZWdYcHdUYlB5Y3UvZUVYNStvMG0rNUJNcnVZL0FFSGdIQU9OVHVyM0ZXNWVKS2dIWmdUdlRYSHhVNVlXcGNsTDNKVUtBRHo3MGVJeWw3cnRUNncyV3dwNUp3NVIyajhyTDVzOEtYSUNLWXQrY3VvakpZcU5VaUJoNTg4WlYxZjNyOTZiTEtWd0VCK2NVUzczRnNISGV6NEV5VkNkbWtGMTBiVmhlTkVlcUpabGlQaW90YUZpNWFGUkF2NCsvdW43V21jYWp2T1pQMkFjR0N1LzNOVmRZUitQS2RPdCtHVlJTTUtwdWM0czIrOTA9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-209870</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3317 0000 06 0028 16</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>28.907,79 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>9</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9961</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
SUBASTA SUB-JA-2023-211240,JUZGADO de 1a INST E INSTRUCC. 2 - AVILES,Expediente: 0130/21,Expediente: 0130/21,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-211240&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXcDk0bDRSeXdqMm4wek4yTkx4S01iTmFZemhqSlhUek13SnZkSHlGYnlZZWdYcHdUYlB5Y3UvZUVYNStvMG0rNUJNcnVZL0FFSGdIQU9OVHVyM0ZXNWVKS2dIWmdUdlRYSHhVNVlXcGNsTDNKVUtBRHo3MGVJeWw3cnRUNncyV3dwNUp3NVIyajhyTDVzOEtYSUNLWXQrY3VvakpZcU5VaUJoNTg4WlYxZjNyOTZiTEtWd0VCK2NVUzczRnNISGV6NEV5VkNkbWtGMTBiVmhlTkVlcUpabGlQaW90YUZpNWFGUkF2NCsvdW43V21jYWp2T1pQMkFjR0N1LzNOVmRZUitQS2RPdCtHVlJTTUtwdWM0czIrOTA9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-211240</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3263 0000 06 0130 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>53.032,06 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9406</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>90.000,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.800,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>4.500,00 €</td>
</tr>
</table>"
SUBASTA SUB-AT-2023-22R4686001669,U.R. SUBASTAS VALENCIA - VALENCIA,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-22R4686001669&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXcDk0bDRSeXdqMm4wek4yTkx4S01iTmFZemhqSlhUek13SnZkSHlGYnlZZWdYcHdUYlB5Y3UvZUVYNStvMG0rNUJNcnVZL0FFSGdIQU9OVHVyM0ZXNWVKS2dIWmdUdlRYSHhVNVlXcGNsTDNKVUtBRHo3MGVJeWw3cnRUNncyV3dwNUp3NVIyajhyTDVzOEtYSUNLWXQrY3VvakpZcU5VaUJoNTg4WlYxZjNyOTZiTEtWd0VCK2NVUzczRnNISGV6NEV5VkNkbWtGMTBiVmhlTkVlcUpabGlQaW90YUZpNWFGUkF2NCsvdW43V21jYWp2T1pQMkFjR0N1LzNOVmRZUitQS2RPdCtHVlJTTUtwdWM0czIrOTA9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-22R4686001669</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9682</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>114.479,21 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>245.194,81 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.000,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>5.723,96 €</td>
</tr>
</table>"
SUBASTA SUB-AT-2023-23R3386001008,U.R. SUBASTAS ASTURIAS - OVIEDO,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-23R3386001008&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXcDk0bDRSeXdqMm4wek4yTkx4S01iTmFZemhqSlhUek13SnZkSHlGYnlZZWdYcHdUYlB5Y3UvZUVYNStvMG0rNUJNcnVZL0FFSGdIQU9OVHVyM0ZXNWVKS2dIWmdUdlRYSHhVNVlXcGNsTDNKVUtBRHo3MGVJeWw3cnRUNncyV3dwNUp3NVIyajhyTDVzOEtYSUNLWXQrY3VvakpZcU5VaUJoNTg4WlYxZjNyOTZiTEtWd0VCK2NVUzczRnNISGV6NEV5VkNkbWtGMTBiVmhlTkVlcUpabGlQaW90YUZpNWFGUkF2NCsvdW43V21jYWp2T1pQMkFjR0N1LzNOVmRZUitQS2RPdCtHVlJTTUtwdWM0czIrOTA9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-23R3386001008</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9595</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>37.501,05 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>37.501,05 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.000,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>1.875,05 €</td>
</tr>
</table>"
SUBASTA SUB-AT-2023-23R3386001007,U.R. SUBASTAS ASTURIAS - OVIEDO,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-23R3386001007&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXcDk0bDRSeXdqMm4wek4yTkx4S01iTmFZemhqSlhUek13SnZkSHlGYnlZZWdYcHdUYlB5Y3UvZUVYNStvMG0rNUJNcnVZL0FFSGdIQU9OVHVyM0ZXNWVKS2dIWmdUdlRYSHhVNVlXcGNsTDNKVUtBRHo3MGVJeWw3cnRUNncyV3dwNUp3NVIyajhyTDVzOEtYSUNLWXQrY3VvakpZcU5VaUJoNTg4WlYxZjNyOTZiTEtWd0VCK2NVUzczRnNISGV6NEV5VkNkbWtGMTBiVmhlTkVlcUpabGlQaW90YUZpNWFGUkF2NCsvdW43V21jYWp2T1pQMkFjR0N1LzNOVmRZUitQS2RPdCtHVlJTTUtwdWM0czIrOTA9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-23R3386001007</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9594</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>5.280,52 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>5.280,52 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>200,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>264,02 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2022-206256,JUZGADO de 1a INST E INSTRUCC. 5 - AVILES,Expediente: 0246/19,Expediente: 0246/19,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-206256&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXcDk0bDRSeXdqMm4wek4yTkx4S01iTmFZemhqSlhUek13SnZkSHlGYnlZZWdYcHdUYlB5Y3UvZUVYNStvMG0rNUJNcnVZL0FFSGdIQU9OVHVyM0ZXNWVKS2dIWmdUdlRYSHhVNVlXcGNsTDNKVUtBRHo3MGVJeWw3cnRUNncyV3dwNUp3NVIyajhyTDVzOEtYSUNLWXQrY3VvakpZcU5VaUJoNTg4WlYxZjNyOTZiTEtWd0VCK2NVUzczRnNISGV6NEV5VkNkbWtGMTBiVmhlTkVlcUpabGlQaW90YUZpNWFGUkF2NCsvdW43V21jYWp2T1pQMkFjR0N1LzNOVmRZUitQS2RPdCtHVlJTTUtwdWM0czIrOTA9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-206256</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3267 0000 06 0246 19</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>79.820,52 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9405</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>171.200,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>3.424,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>8.560,00 €</td>
</tr>
</table>"
SUBASTA SUB-AT-2023-23R3386001006,U.R. SUBASTAS ASTURIAS - OVIEDO,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-23R3386001006&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXcDk0bDRSeXdqMm4wek4yTkx4S01iTmFZemhqSlhUek13SnZkSHlGYnlZZWdYcHdUYlB5Y3UvZUVYNStvMG0rNUJNcnVZL0FFSGdIQU9OVHVyM0ZXNWVKS2dIWmdUdlRYSHhVNVlXcGNsTDNKVUtBRHo3MGVJeWw3cnRUNncyV3dwNUp3NVIyajhyTDVzOEtYSUNLWXQrY3VvakpZcU5VaUJoNTg4WlYxZjNyOTZiTEtWd0VCK2NVUzczRnNISGV6NEV5VkNkbWtGMTBiVmhlTkVlcUpabGlQaW90YUZpNWFGUkF2NCsvdW43V21jYWp2T1pQMkFjR0N1LzNOVmRZUitQS2RPdCtHVlJTTUtwdWM0czIrOTA9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-23R3386001006</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9592</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>19.663,11 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>19.663,11 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>500,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>983,15 €</td>
</tr>
</table>"
SUBASTA SUB-AT-2023-22R2986001006,U.R. SUBASTAS ANDALUCIA 29 - MALAGA,Estado: Celebrándose - [Conclusión prevista: 17/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 17/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-22R2986001006&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXcDk0bDRSeXdqMm4wek4yTkx4S01iTmFZemhqSlhUek13SnZkSHlGYnlZZWdYcHdUYlB5Y3UvZUVYNStvMG0rNUJNcnVZL0FFSGdIQU9OVHVyM0ZXNWVKS2dIWmdUdlRYSHhVNVlXcGNsTDNKVUtBRHo3MGVJeWw3cnRUNncyV3dwNUp3NVIyajhyTDVzOEtYSUNLWXQrY3VvakpZcU5VaUJoNTg4WlYxZjNyOTZiTEtWd0VCK2NVUzczRnNISGV6NEV5VkNkbWtGMTBiVmhlTkVlcUpabGlQaW90YUZpNWFGUkF2NCsvdW43V21jYWp2T1pQMkFjR0N1LzNOVmRZUitQS2RPdCtHVlJTTUtwdWM0czIrOTA9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-22R2986001006</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>28-03-2023 18:00:00 CET  (ISO: 2023-03-28T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">17-04-2023 18:00:00 CET </strong> (ISO: 2023-04-17T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8644</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>76.123,06 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>76.123,06 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.000,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>3.806,15 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2022-202080 (2 lotes),JUZGADO de 1a INST E INSTRUCC. 2 - POLA SIERO (LA)-SIERO,Expediente: 0189/11,Expediente: 0189/11,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-202080&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXcDk0bDRSeXdqMm4wek4yTkx4S01iTmFZemhqSlhUek13SnZkSHlGYnlZZWdYcHdUYlB5Y3UvZUVYNStvMG0rNUJNcnVZL0FFSGdIQU9OVHVyM0ZXNWVKS2dIWmdUdlRYSHhVNVlXcGNsTDNKVUtBRHo3MGVJeWw3cnRUNncyV3dwNUp3NVIyajhyTDVzOEtYSUNLWXQrY3VvakpZcU5VaUJoNTg4WlYxZjNyOTZiTEtWd0VCK2NVUzczRnNISGV6NEV5VkNkbWtGMTBiVmhlTkVlcUpabGlQaW90YUZpNWFGUkF2NCsvdW43V21jYWp2T1pQMkFjR0N1LzNOVmRZUitQS2RPdCtHVlJTTUtwdWM0czIrOTA9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-202080</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3389 0000 06 0189 11</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>24-03-2023 18:00:00 CET  (ISO: 2023-03-24T18:00:00+01:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">13-04-2023 18:00:00 CET </strong> (ISO: 2023-04-13T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>209.965,37 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>2</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8117</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
SUBASTA SUB-JA-2023-208161,JUZGADO de 1a INST E INSTRUCC. 1 - LLANES,Expediente: 0039/22,Expediente: 0039/22,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-208161&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXcDk0bDRSeXdqMm4wek4yTkx4S01iTmFZemhqSlhUek13SnZkSHlGYnlZZWdYcHdUYlB5Y3UvZUVYNStvMG0rNUJNcnVZL0FFSGdIQU9OVHVyM0ZXNWVKS2dIWmdUdlRYSHhVNVlXcGNsTDNKVUtBRHo3MGVJeWw3cnRUNncyV3dwNUp3NVIyajhyTDVzOEtYSUNLWXQrY3VvakpZcU5VaUJoNTg4WlYxZjNyOTZiTEtWd0VCK2NVUzczRnNISGV6NEV5VkNkbWtGMTBiVmhlTkVlcUpabGlQaW90YUZpNWFGUkF2NCsvdW43V21jYWp2T1pQMkFjR0N1LzNOVmRZUitQS2RPdCtHVlJTTUtwdWM0czIrOTA9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-208161</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3333 0000 06 0039 22</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>31-01-2023 18:00:00 CET  (ISO: 2023-01-31T18:00:00+01:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">11-04-2023 20:22:51 CET </strong> (ISO: 2023-04-11T20:22:51+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>39.211,71 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-2625</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>178.241,79 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>53.472,00 €</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>3.564,83 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>8.912,08 €</td>
</tr>
</table>"
