titulo,donde,expediente,descripcion,link,datos_tabla
SUBASTA SUB-JA-2023-211072,JUZGADO 1Ŗ INSTANCIA 39 - BARCELONA,Expediente: 3291/22,Expediente: 3291/22,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-211072&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXa3ZOSDdnaFNaMkg1OWV0U2pHWjFwUEc2aHo5TVl3QjNtUnJUQ1FGS2ZoYmdoYS94cncxU1ZhYjNYMXFndzdyaVNvUlZpSUJHdm83eEVla3UyMElJYjJFcHpGdFB4N0RWQ20xRThPNFFrUStieGtWOWhaTlJuNGtqUXlyV3V3dFdYbWFPd3BGMnh3dlZaK2tXaElFQjVvZmhiUkdFMTJJYTYrUnRsMkU0enNHektmOUZRdnpYQmZHcERYRlY2bUdDVHE1UFZaLzJRS1BDMFlPNVhCb2R1SEYrOGljOW85djdqdE1zeWZySnNZQS8wTkhSS1lvWkxVMGJ5enJkWUhLdEhmYy9JY3g0YlF3YnpZdWo1aVhlOGs9--500,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-211072</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>0629 0000 06 3291 22</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>117.159,71 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9952</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>189.099,72 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Sin tramos</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>9.454,98 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-211300,JUZGADO 1Ŗ INST E INSTRUCC. 4 - MOLLET DEL VALLES,Expediente: 3415/22,Expediente: 3415/22,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-211300&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXa3ZOSDdnaFNaMkg1OWV0U2pHWjFwUEc2aHo5TVl3QjNtUnJUQ1FGS2ZoYmdoYS94cncxU1ZhYjNYMXFndzdyaVNvUlZpSUJHdm83eEVla3UyMElJYjJFcHpGdFB4N0RWQ20xRThPNFFrUStieGtWOWhaTlJuNGtqUXlyV3V3dFdYbWFPd3BGMnh3dlZaK2tXaElFQjVvZmhiUkdFMTJJYTYrUnRsMkU0enNHektmOUZRdnpYQmZHcERYRlY2bUdDVHE1UFZaLzJRS1BDMFlPNVhCb2R1SEYrOGljOW85djdqdE1zeWZySnNZQS8wTkhSS1lvWkxVMGJ5enJkWUhLdEhmYy9JY3g0YlF3YnpZdWo1aVhlOGs9--500,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-211300</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>0926 0000 06 3415 22</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>88.255,39 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9974</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>141.462,42 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.829,24 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>7.073,12 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-211220,JUZGADO 1Ŗ INSTANCIA 57 - BARCELONA,Expediente: 0143/21,Expediente: 0143/21,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-211220&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXa3ZOSDdnaFNaMkg1OWV0U2pHWjFwUEc2aHo5TVl3QjNtUnJUQ1FGS2ZoYmdoYS94cncxU1ZhYjNYMXFndzdyaVNvUlZpSUJHdm83eEVla3UyMElJYjJFcHpGdFB4N0RWQ20xRThPNFFrUStieGtWOWhaTlJuNGtqUXlyV3V3dFdYbWFPd3BGMnh3dlZaK2tXaElFQjVvZmhiUkdFMTJJYTYrUnRsMkU0enNHektmOUZRdnpYQmZHcERYRlY2bUdDVHE1UFZaLzJRS1BDMFlPNVhCb2R1SEYrOGljOW85djdqdE1zeWZySnNZQS8wTkhSS1lvWkxVMGJ5enJkWUhLdEhmYy9JY3g0YlF3YnpZdWo1aVhlOGs9--500,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-211220</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>0989 0000 06 0143 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>151.523,19 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9950</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>219.058,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Sin tramos</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>10.952,90 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-209067 (3 lotes),JUZGADO 1Ŗ INSTANCIA 12 - BARCELONA,Expediente: 0791/20,Expediente: 0791/20,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-209067&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXa3ZOSDdnaFNaMkg1OWV0U2pHWjFwUEc2aHo5TVl3QjNtUnJUQ1FGS2ZoYmdoYS94cncxU1ZhYjNYMXFndzdyaVNvUlZpSUJHdm83eEVla3UyMElJYjJFcHpGdFB4N0RWQ20xRThPNFFrUStieGtWOWhaTlJuNGtqUXlyV3V3dFdYbWFPd3BGMnh3dlZaK2tXaElFQjVvZmhiUkdFMTJJYTYrUnRsMkU0enNHektmOUZRdnpYQmZHcERYRlY2bUdDVHE1UFZaLzJRS1BDMFlPNVhCb2R1SEYrOGljOW85djdqdE1zeWZySnNZQS8wTkhSS1lvWkxVMGJ5enJkWUhLdEhmYy9JY3g0YlF3YnpZdWo1aVhlOGs9--500,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-209067</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>0545 0000 05 0791 20</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>53.699,43 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>3</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9955</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210344,JUZGADO 1Ŗ INST E INSTRUCC. 1 - VILAFRANCA DEL PENEDES,Expediente: 0025/18,Expediente: 0025/18,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210344&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXa3ZOSDdnaFNaMkg1OWV0U2pHWjFwUEc2aHo5TVl3QjNtUnJUQ1FGS2ZoYmdoYS94cncxU1ZhYjNYMXFndzdyaVNvUlZpSUJHdm83eEVla3UyMElJYjJFcHpGdFB4N0RWQ20xRThPNFFrUStieGtWOWhaTlJuNGtqUXlyV3V3dFdYbWFPd3BGMnh3dlZaK2tXaElFQjVvZmhiUkdFMTJJYTYrUnRsMkU0enNHektmOUZRdnpYQmZHcERYRlY2bUdDVHE1UFZaLzJRS1BDMFlPNVhCb2R1SEYrOGljOW85djdqdE1zeWZySnNZQS8wTkhSS1lvWkxVMGJ5enJkWUhLdEhmYy9JY3g0YlF3YnpZdWo1aVhlOGs9--500,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210344</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>0894 0000 05 0025 18</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>2.126,39 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9990</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>3.746,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>74,92 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>187,30 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210783,JUZGADO 1Ŗ INSTANCIA 57 - BARCELONA,Expediente: 0147/19,Expediente: 0147/19,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210783&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXa3ZOSDdnaFNaMkg1OWV0U2pHWjFwUEc2aHo5TVl3QjNtUnJUQ1FGS2ZoYmdoYS94cncxU1ZhYjNYMXFndzdyaVNvUlZpSUJHdm83eEVla3UyMElJYjJFcHpGdFB4N0RWQ20xRThPNFFrUStieGtWOWhaTlJuNGtqUXlyV3V3dFdYbWFPd3BGMnh3dlZaK2tXaElFQjVvZmhiUkdFMTJJYTYrUnRsMkU0enNHektmOUZRdnpYQmZHcERYRlY2bUdDVHE1UFZaLzJRS1BDMFlPNVhCb2R1SEYrOGljOW85djdqdE1zeWZySnNZQS8wTkhSS1lvWkxVMGJ5enJkWUhLdEhmYy9JY3g0YlF3YnpZdWo1aVhlOGs9--500,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210783</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>0989 0000 06 0147 19</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>392.738,60 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9953</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>440.005,18 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Sin tramos</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>22.000,25 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210789,JUZGADO 1Ŗ INSTANCIA 57 - BARCELONA,Expediente: 0079/22,Expediente: 0079/22,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210789&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXa3ZOSDdnaFNaMkg1OWV0U2pHWjFwUEc2aHo5TVl3QjNtUnJUQ1FGS2ZoYmdoYS94cncxU1ZhYjNYMXFndzdyaVNvUlZpSUJHdm83eEVla3UyMElJYjJFcHpGdFB4N0RWQ20xRThPNFFrUStieGtWOWhaTlJuNGtqUXlyV3V3dFdYbWFPd3BGMnh3dlZaK2tXaElFQjVvZmhiUkdFMTJJYTYrUnRsMkU0enNHektmOUZRdnpYQmZHcERYRlY2bUdDVHE1UFZaLzJRS1BDMFlPNVhCb2R1SEYrOGljOW85djdqdE1zeWZySnNZQS8wTkhSS1lvWkxVMGJ5enJkWUhLdEhmYy9JY3g0YlF3YnpZdWo1aVhlOGs9--500,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210789</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>0989 0000 06 0079 22</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>19.959,44 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9954</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>133.061,59 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Sin tramos</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>6.653,07 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-211180,JUZGADO 1Ŗ INSTANCIA 41 - BARCELONA,Expediente: 3085/21,Expediente: 3085/21,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-211180&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXa3ZOSDdnaFNaMkg1OWV0U2pHWjFwUEc2aHo5TVl3QjNtUnJUQ1FGS2ZoYmdoYS94cncxU1ZhYjNYMXFndzdyaVNvUlZpSUJHdm83eEVla3UyMElJYjJFcHpGdFB4N0RWQ20xRThPNFFrUStieGtWOWhaTlJuNGtqUXlyV3V3dFdYbWFPd3BGMnh3dlZaK2tXaElFQjVvZmhiUkdFMTJJYTYrUnRsMkU0enNHektmOUZRdnpYQmZHcERYRlY2bUdDVHE1UFZaLzJRS1BDMFlPNVhCb2R1SEYrOGljOW85djdqdE1zeWZySnNZQS8wTkhSS1lvWkxVMGJ5enJkWUhLdEhmYy9JY3g0YlF3YnpZdWo1aVhlOGs9--500,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-211180</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>0687 0000 06 3085 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>309.663,78 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9951</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>476.250,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>476.250,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>1,00 €</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.381,25 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>23.812,50 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210142,JUZGADO 1Ŗ INSTANCIA 1 - BARCELONA,Expediente: 3125/20,Expediente: 3125/20,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210142&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXa3ZOSDdnaFNaMkg1OWV0U2pHWjFwUEc2aHo5TVl3QjNtUnJUQ1FGS2ZoYmdoYS94cncxU1ZhYjNYMXFndzdyaVNvUlZpSUJHdm83eEVla3UyMElJYjJFcHpGdFB4N0RWQ20xRThPNFFrUStieGtWOWhaTlJuNGtqUXlyV3V3dFdYbWFPd3BGMnh3dlZaK2tXaElFQjVvZmhiUkdFMTJJYTYrUnRsMkU0enNHektmOUZRdnpYQmZHcERYRlY2bUdDVHE1UFZaLzJRS1BDMFlPNVhCb2R1SEYrOGljOW85djdqdE1zeWZySnNZQS8wTkhSS1lvWkxVMGJ5enJkWUhLdEhmYy9JY3g0YlF3YnpZdWo1aVhlOGs9--500,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210142</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>0534 0000 06 3125 20</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>06-04-2023 18:00:00 CET  (ISO: 2023-04-06T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">26-04-2023 18:00:00 CET </strong> (ISO: 2023-04-26T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>158.947,26 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9791</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>170.782,92 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>170.782,92 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Sin tramos</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>8.539,14 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2022-199643 (3 lotes),JUZGADO 1Ŗ INST E INSTRUCC. 4 - GAVA,Expediente: 0134/21,Expediente: 0134/21,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-199643&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXa3ZOSDdnaFNaMkg1OWV0U2pHWjFwUEc2aHo5TVl3QjNtUnJUQ1FGS2ZoYmdoYS94cncxU1ZhYjNYMXFndzdyaVNvUlZpSUJHdm83eEVla3UyMElJYjJFcHpGdFB4N0RWQ20xRThPNFFrUStieGtWOWhaTlJuNGtqUXlyV3V3dFdYbWFPd3BGMnh3dlZaK2tXaElFQjVvZmhiUkdFMTJJYTYrUnRsMkU0enNHektmOUZRdnpYQmZHcERYRlY2bUdDVHE1UFZaLzJRS1BDMFlPNVhCb2R1SEYrOGljOW85djdqdE1zeWZySnNZQS8wTkhSS1lvWkxVMGJ5enJkWUhLdEhmYy9JY3g0YlF3YnpZdWo1aVhlOGs9--500,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-199643</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>0850 0000 06 0134 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>06-04-2023 18:00:00 CET  (ISO: 2023-04-06T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">26-04-2023 18:00:00 CET </strong> (ISO: 2023-04-26T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>304.114,46 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>3</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9801</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
