titulo,donde,expediente,descripcion,link,datos_tabla
SUBASTA SUB-JA-2022-206740 (2 lotes),JUZGADO de 1a INSTANCIA 31 - MADRID,Expediente: 0179/15,Expediente: 0179/15,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-206740&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXcWhyZERHYVBFV1B1bUo5OVdhUSsrZlg5ei9wQUdCTmFUdXBJa01PaExJckwxSGhvWXo2ZTBrbTJPUGNRQldFMUdPc3BWNjErbVcwaVVhb0VoUFlqZEU1UGFFZnNJQ243KzBqNkVKMlM2dXVkVkhlUWdFNnRsUGEwVkJaU1dHOXcydnRSOW5vSTI0ZjlEVFVlL29oS0cwV01Ia3VjdDJaczB0WVdpRUhWTTRNbkY5Sk1jT3dPdlk0WVZLOVRsZ1Z6Nyt1MURBdnF0enU0bGhuNEpHUVQ0N0hjbWNoZHlBc3FnZEQ3VUFYRGh2OGZVZUdCWHRzZkd2WlVJaDFBd2ZQMU9KcTJsL1BUcnFGTEgwODFQRWM1dnM9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-206740</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>2459 0000 00 0179 15</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>06-04-2023 18:00:00 CET  (ISO: 2023-04-06T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">26-04-2023 18:00:00 CET </strong> (ISO: 2023-04-26T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>116.747,05 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>2</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9813</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
SUBASTA SUB-JA-2023-211249 (2 lotes),JUZGADO de 1a INST E INSTRUCC. 1 - SANTOŃA,Expediente: 0114/20,Expediente: 0114/20,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-211249&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXcWhyZERHYVBFV1B1bUo5OVdhUSsrZlg5ei9wQUdCTmFUdXBJa01PaExJckwxSGhvWXo2ZTBrbTJPUGNRQldFMUdPc3BWNjErbVcwaVVhb0VoUFlqZEU1UGFFZnNJQ243KzBqNkVKMlM2dXVkVkhlUWdFNnRsUGEwVkJaU1dHOXcydnRSOW5vSTI0ZjlEVFVlL29oS0cwV01Ia3VjdDJaczB0WVdpRUhWTTRNbkY5Sk1jT3dPdlk0WVZLOVRsZ1Z6Nyt1MURBdnF0enU0bGhuNEpHUVQ0N0hjbWNoZHlBc3FnZEQ3VUFYRGh2OGZVZUdCWHRzZkd2WlVJaDFBd2ZQMU9KcTJsL1BUcnFGTEgwODFQRWM1dnM9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-211249</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3879 0000 05 0114 20</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>06-04-2023 18:00:00 CET  (ISO: 2023-04-06T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">26-04-2023 18:00:00 CET </strong> (ISO: 2023-04-26T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>430.257,37 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>2</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9823</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
SUBASTA SUB-AT-2023-23R3986001008,U.R. SUBASTAS CANTABRIA - SANTANDER,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-23R3986001008&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXcWhyZERHYVBFV1B1bUo5OVdhUSsrZlg5ei9wQUdCTmFUdXBJa01PaExJckwxSGhvWXo2ZTBrbTJPUGNRQldFMUdPc3BWNjErbVcwaVVhb0VoUFlqZEU1UGFFZnNJQ243KzBqNkVKMlM2dXVkVkhlUWdFNnRsUGEwVkJaU1dHOXcydnRSOW5vSTI0ZjlEVFVlL29oS0cwV01Ia3VjdDJaczB0WVdpRUhWTTRNbkY5Sk1jT3dPdlk0WVZLOVRsZ1Z6Nyt1MURBdnF0enU0bGhuNEpHUVQ0N0hjbWNoZHlBc3FnZEQ3VUFYRGh2OGZVZUdCWHRzZkd2WlVJaDFBd2ZQMU9KcTJsL1BUcnFGTEgwODFQRWM1dnM9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-23R3986001008</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9596</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>153.299,60 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>357.070,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.000,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>7.664,98 €</td>
</tr>
</table>"
SUBASTA SUB-JV-2023-209754,JUZGADO de 1a INST E INSTRUCC. 2 - SOLARES,Expediente: 0049/19,Expediente: 0049/19,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JV-2023-209754&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXcWhyZERHYVBFV1B1bUo5OVdhUSsrZlg5ei9wQUdCTmFUdXBJa01PaExJckwxSGhvWXo2ZTBrbTJPUGNRQldFMUdPc3BWNjErbVcwaVVhb0VoUFlqZEU1UGFFZnNJQ243KzBqNkVKMlM2dXVkVkhlUWdFNnRsUGEwVkJaU1dHOXcydnRSOW5vSTI0ZjlEVFVlL29oS0cwV01Ia3VjdDJaczB0WVdpRUhWTTRNbkY5Sk1jT3dPdlk0WVZLOVRsZ1Z6Nyt1MURBdnF0enU0bGhuNEpHUVQ0N0hjbWNoZHlBc3FnZEQ3VUFYRGh2OGZVZUdCWHRzZkd2WlVJaDFBd2ZQMU9KcTJsL1BUcnFGTEgwODFQRWM1dnM9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JV-2023-209754</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL VOLUNTARIA</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3878 0000 05 0049 19</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>30-03-2023 18:00:00 CET  (ISO: 2023-03-30T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">19-04-2023 18:00:00 CET </strong> (ISO: 2023-04-19T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>32.019,01 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8789</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>32.019,01 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>640,38 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>1.600,95 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210025,JUZGADO de 1a INST E INSTRUCC. 2 - TORRELAVEGA,Expediente: 0126/17,Expediente: 0126/17,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210025&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXcWhyZERHYVBFV1B1bUo5OVdhUSsrZlg5ei9wQUdCTmFUdXBJa01PaExJckwxSGhvWXo2ZTBrbTJPUGNRQldFMUdPc3BWNjErbVcwaVVhb0VoUFlqZEU1UGFFZnNJQ243KzBqNkVKMlM2dXVkVkhlUWdFNnRsUGEwVkJaU1dHOXcydnRSOW5vSTI0ZjlEVFVlL29oS0cwV01Ia3VjdDJaczB0WVdpRUhWTTRNbkY5Sk1jT3dPdlk0WVZLOVRsZ1Z6Nyt1MURBdnF0enU0bGhuNEpHUVQ0N0hjbWNoZHlBc3FnZEQ3VUFYRGh2OGZVZUdCWHRzZkd2WlVJaDFBd2ZQMU9KcTJsL1BUcnFGTEgwODFQRWM1dnM9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210025</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3888 0000 06 0126 17</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>30-03-2023 18:00:00 CET  (ISO: 2023-03-30T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">19-04-2023 18:00:00 CET </strong> (ISO: 2023-04-19T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>110.316,82 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8793</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>169.015,92 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>3.380,31 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>8.450,79 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-209721,JUZGADO de 1a INST E INSTRUCC. 2 - SOLARES,Expediente: 0229/21,Expediente: 0229/21,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-209721&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXcWhyZERHYVBFV1B1bUo5OVdhUSsrZlg5ei9wQUdCTmFUdXBJa01PaExJckwxSGhvWXo2ZTBrbTJPUGNRQldFMUdPc3BWNjErbVcwaVVhb0VoUFlqZEU1UGFFZnNJQ243KzBqNkVKMlM2dXVkVkhlUWdFNnRsUGEwVkJaU1dHOXcydnRSOW5vSTI0ZjlEVFVlL29oS0cwV01Ia3VjdDJaczB0WVdpRUhWTTRNbkY5Sk1jT3dPdlk0WVZLOVRsZ1Z6Nyt1MURBdnF0enU0bGhuNEpHUVQ0N0hjbWNoZHlBc3FnZEQ3VUFYRGh2OGZVZUdCWHRzZkd2WlVJaDFBd2ZQMU9KcTJsL1BUcnFGTEgwODFQRWM1dnM9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-209721</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3878 0000 06 0229 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>30-03-2023 18:00:00 CET  (ISO: 2023-03-30T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">19-04-2023 18:00:00 CET </strong> (ISO: 2023-04-19T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>288.392,53 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8788</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>728.227,97 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>14.564,55 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>36.411,39 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210222,JUZGADO de 1a INST E INSTRUCC. 1 - SANTOŃA,Expediente: 0444/20,Expediente: 0444/20,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210222&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXcWhyZERHYVBFV1B1bUo5OVdhUSsrZlg5ei9wQUdCTmFUdXBJa01PaExJckwxSGhvWXo2ZTBrbTJPUGNRQldFMUdPc3BWNjErbVcwaVVhb0VoUFlqZEU1UGFFZnNJQ243KzBqNkVKMlM2dXVkVkhlUWdFNnRsUGEwVkJaU1dHOXcydnRSOW5vSTI0ZjlEVFVlL29oS0cwV01Ia3VjdDJaczB0WVdpRUhWTTRNbkY5Sk1jT3dPdlk0WVZLOVRsZ1Z6Nyt1MURBdnF0enU0bGhuNEpHUVQ0N0hjbWNoZHlBc3FnZEQ3VUFYRGh2OGZVZUdCWHRzZkd2WlVJaDFBd2ZQMU9KcTJsL1BUcnFGTEgwODFQRWM1dnM9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210222</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3879 0000 05 0444 20</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>28-03-2023 18:00:00 CET  (ISO: 2023-03-28T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">17-04-2023 18:00:00 CET </strong> (ISO: 2023-04-17T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>241.329,67 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8552</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>215.900,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>4.318,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>10.795,00 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210064,JUZGADO de 1a INST E INSTRUCC. 2 - SANTOŃA,Expediente: 0116/20,Expediente: 0116/20,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210064&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXcWhyZERHYVBFV1B1bUo5OVdhUSsrZlg5ei9wQUdCTmFUdXBJa01PaExJckwxSGhvWXo2ZTBrbTJPUGNRQldFMUdPc3BWNjErbVcwaVVhb0VoUFlqZEU1UGFFZnNJQ243KzBqNkVKMlM2dXVkVkhlUWdFNnRsUGEwVkJaU1dHOXcydnRSOW5vSTI0ZjlEVFVlL29oS0cwV01Ia3VjdDJaczB0WVdpRUhWTTRNbkY5Sk1jT3dPdlk0WVZLOVRsZ1Z6Nyt1MURBdnF0enU0bGhuNEpHUVQ0N0hjbWNoZHlBc3FnZEQ3VUFYRGh2OGZVZUdCWHRzZkd2WlVJaDFBd2ZQMU9KcTJsL1BUcnFGTEgwODFQRWM1dnM9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210064</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3897 0000 05 0116 20</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>28-03-2023 18:00:00 CET  (ISO: 2023-03-28T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">17-04-2023 18:00:00 CET </strong> (ISO: 2023-04-17T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>136.076,64 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8551</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>159.800,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>3.196,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>7.990,00 €</td>
</tr>
</table>"
SUBASTA SUB-AT-2023-22R3986001027,U.R. SUBASTAS CANTABRIA - SANTANDER,Estado: Celebrándose - [Conclusión prevista: 17/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 17/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-22R3986001027&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXcWhyZERHYVBFV1B1bUo5OVdhUSsrZlg5ei9wQUdCTmFUdXBJa01PaExJckwxSGhvWXo2ZTBrbTJPUGNRQldFMUdPc3BWNjErbVcwaVVhb0VoUFlqZEU1UGFFZnNJQ243KzBqNkVKMlM2dXVkVkhlUWdFNnRsUGEwVkJaU1dHOXcydnRSOW5vSTI0ZjlEVFVlL29oS0cwV01Ia3VjdDJaczB0WVdpRUhWTTRNbkY5Sk1jT3dPdlk0WVZLOVRsZ1Z6Nyt1MURBdnF0enU0bGhuNEpHUVQ0N0hjbWNoZHlBc3FnZEQ3VUFYRGh2OGZVZUdCWHRzZkd2WlVJaDFBd2ZQMU9KcTJsL1BUcnFGTEgwODFQRWM1dnM9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-22R3986001027</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>28-03-2023 18:00:00 CET  (ISO: 2023-03-28T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">17-04-2023 18:00:00 CET </strong> (ISO: 2023-04-17T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8654</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>28.555,25 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>32.890,66 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>500,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>1.427,76 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2022-207047 (2 lotes),JUZGADO de 1a INST E INSTRUCC. 2 - SANTOŃA,Expediente: 0512/20,Expediente: 0512/20,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-207047&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXcWhyZERHYVBFV1B1bUo5OVdhUSsrZlg5ei9wQUdCTmFUdXBJa01PaExJckwxSGhvWXo2ZTBrbTJPUGNRQldFMUdPc3BWNjErbVcwaVVhb0VoUFlqZEU1UGFFZnNJQ243KzBqNkVKMlM2dXVkVkhlUWdFNnRsUGEwVkJaU1dHOXcydnRSOW5vSTI0ZjlEVFVlL29oS0cwV01Ia3VjdDJaczB0WVdpRUhWTTRNbkY5Sk1jT3dPdlk0WVZLOVRsZ1Z6Nyt1MURBdnF0enU0bGhuNEpHUVQ0N0hjbWNoZHlBc3FnZEQ3VUFYRGh2OGZVZUdCWHRzZkd2WlVJaDFBd2ZQMU9KcTJsL1BUcnFGTEgwODFQRWM1dnM9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-207047</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3897 0000 06 0512 20</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>21-03-2023 18:00:00 CET  (ISO: 2023-03-21T18:00:00+01:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">10-04-2023 18:00:00 CET </strong> (ISO: 2023-04-10T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>204.511,40 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>2</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-7837</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
