titulo,donde,expediente,descripcion,link,datos_tabla
SUBASTA SUB-JA-2023-208108,JUZGADO de 1a INSTANCIA 8 - CASTELLON DE LA PLANA,Expediente: 1272/16,Expediente: 1272/16,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-208108&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYjNvMmxwYWtLaUkwblQ1SFY5RUJ3TGdUY0JscnBIa25tTlJQMmtScXJVakZhejhNY1pnQitEY096c012RXAzcFlHQVF5Z1k5OU1CSVVqTmw1RXdWay9lVDd5QnBDR08ydDhJYVQ0dFJkaDFWM0UxaFZwTkZleGNhVWI5Vmp4R1gxYUNEMk5nc3FjenVSNlVSSi9vVkIwMmQyUk5DN1VSb2ZTU1JEak93NkIyTmg5Z09OU0JTTlVhNHZVVmxnenduemZaUGN4SzJvNUV0bUpRVS9tc29pK3VsaEFVbDloWjdleGphaE04NUgvUGxtaE52a1ZPQkg3a2NTaURYV09vbEFrWkVYWDFGOUQ4V09vTEwyUTBLMms9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-208108</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>4961 0000 06 1272 16</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>19.876,19 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9956</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>55.899,90 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.117,99 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>2.794,99 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-208043,JUZGADO de 1a INST E INSTRUCC. 4 - NULES,Expediente: 1118/13,Expediente: 1118/13,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-208043&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYjNvMmxwYWtLaUkwblQ1SFY5RUJ3TGdUY0JscnBIa25tTlJQMmtScXJVakZhejhNY1pnQitEY096c012RXAzcFlHQVF5Z1k5OU1CSVVqTmw1RXdWay9lVDd5QnBDR08ydDhJYVQ0dFJkaDFWM0UxaFZwTkZleGNhVWI5Vmp4R1gxYUNEMk5nc3FjenVSNlVSSi9vVkIwMmQyUk5DN1VSb2ZTU1JEak93NkIyTmg5Z09OU0JTTlVhNHZVVmxnenduemZaUGN4SzJvNUV0bUpRVS9tc29pK3VsaEFVbDloWjdleGphaE04NUgvUGxtaE52a1ZPQkg3a2NTaURYV09vbEFrWkVYWDFGOUQ4V09vTEwyUTBLMms9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-208043</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3735 0000 06 1118 13</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>06-04-2023 18:00:00 CET  (ISO: 2023-04-06T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">26-04-2023 18:00:00 CET </strong> (ISO: 2023-04-26T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>50.204,08 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9816</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>84.321,52 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.686,43 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>4.216,07 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-209983,JUZGADO de 1a INST E INSTRUCC. 3 - NULES,Expediente: 0008/17,Expediente: 0008/17,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-209983&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYjNvMmxwYWtLaUkwblQ1SFY5RUJ3TGdUY0JscnBIa25tTlJQMmtScXJVakZhejhNY1pnQitEY096c012RXAzcFlHQVF5Z1k5OU1CSVVqTmw1RXdWay9lVDd5QnBDR08ydDhJYVQ0dFJkaDFWM0UxaFZwTkZleGNhVWI5Vmp4R1gxYUNEMk5nc3FjenVSNlVSSi9vVkIwMmQyUk5DN1VSb2ZTU1JEak93NkIyTmg5Z09OU0JTTlVhNHZVVmxnenduemZaUGN4SzJvNUV0bUpRVS9tc29pK3VsaEFVbDloWjdleGphaE04NUgvUGxtaE52a1ZPQkg3a2NTaURYV09vbEFrWkVYWDFGOUQ4V09vTEwyUTBLMms9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-209983</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1355 0000 06 0008 17</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>73.225,35 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9493</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>138.240,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>138.240,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Sin tramos</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>6.912,00 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2022-197240,JUZGADO de 1a INSTANCIA 3 - CASTELLON DE LA PLANA,Expediente: 0931/18,Expediente: 0931/18,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-197240&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYjNvMmxwYWtLaUkwblQ1SFY5RUJ3TGdUY0JscnBIa25tTlJQMmtScXJVakZhejhNY1pnQitEY096c012RXAzcFlHQVF5Z1k5OU1CSVVqTmw1RXdWay9lVDd5QnBDR08ydDhJYVQ0dFJkaDFWM0UxaFZwTkZleGNhVWI5Vmp4R1gxYUNEMk5nc3FjenVSNlVSSi9vVkIwMmQyUk5DN1VSb2ZTU1JEak93NkIyTmg5Z09OU0JTTlVhNHZVVmxnenduemZaUGN4SzJvNUV0bUpRVS9tc29pK3VsaEFVbDloWjdleGphaE04NUgvUGxtaE52a1ZPQkg3a2NTaURYV09vbEFrWkVYWDFGOUQ4V09vTEwyUTBLMms9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-197240</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1325 0000 06 0931 18</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>3.047.922,91 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9427</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>8.979.400,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Sin tramos</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>448.970,00 €</td>
</tr>
</table>"
SUBASTA SUB-AT-2023-22R4686001638,U.R. SUBASTAS VALENCIA - VALENCIA,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-22R4686001638&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYjNvMmxwYWtLaUkwblQ1SFY5RUJ3TGdUY0JscnBIa25tTlJQMmtScXJVakZhejhNY1pnQitEY096c012RXAzcFlHQVF5Z1k5OU1CSVVqTmw1RXdWay9lVDd5QnBDR08ydDhJYVQ0dFJkaDFWM0UxaFZwTkZleGNhVWI5Vmp4R1gxYUNEMk5nc3FjenVSNlVSSi9vVkIwMmQyUk5DN1VSb2ZTU1JEak93NkIyTmg5Z09OU0JTTlVhNHZVVmxnenduemZaUGN4SzJvNUV0bUpRVS9tc29pK3VsaEFVbDloWjdleGphaE04NUgvUGxtaE52a1ZPQkg3a2NTaURYV09vbEFrWkVYWDFGOUQ4V09vTEwyUTBLMms9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-22R4686001638</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9678</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>5.163,38 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>5.163,38 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>200,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>258,16 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2022-205983,JUZGADO de 1a INSTANCIA 3 - CASTELLON DE LA PLANA,Expediente: 0501/17,Expediente: 0501/17,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-205983&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYjNvMmxwYWtLaUkwblQ1SFY5RUJ3TGdUY0JscnBIa25tTlJQMmtScXJVakZhejhNY1pnQitEY096c012RXAzcFlHQVF5Z1k5OU1CSVVqTmw1RXdWay9lVDd5QnBDR08ydDhJYVQ0dFJkaDFWM0UxaFZwTkZleGNhVWI5Vmp4R1gxYUNEMk5nc3FjenVSNlVSSi9vVkIwMmQyUk5DN1VSb2ZTU1JEak93NkIyTmg5Z09OU0JTTlVhNHZVVmxnenduemZaUGN4SzJvNUV0bUpRVS9tc29pK3VsaEFVbDloWjdleGphaE04NUgvUGxtaE52a1ZPQkg3a2NTaURYV09vbEFrWkVYWDFGOUQ4V09vTEwyUTBLMms9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-205983</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1325 0000 06 0501 17</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>4.552.056,74 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9428</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>6.202.110,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>124.042,20 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>310.105,50 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-208122,JUZGADO de 1a INST E INSTRUCC. 5 - VINAROS,Expediente: 0417/22,Expediente: 0417/22,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-208122&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYjNvMmxwYWtLaUkwblQ1SFY5RUJ3TGdUY0JscnBIa25tTlJQMmtScXJVakZhejhNY1pnQitEY096c012RXAzcFlHQVF5Z1k5OU1CSVVqTmw1RXdWay9lVDd5QnBDR08ydDhJYVQ0dFJkaDFWM0UxaFZwTkZleGNhVWI5Vmp4R1gxYUNEMk5nc3FjenVSNlVSSi9vVkIwMmQyUk5DN1VSb2ZTU1JEak93NkIyTmg5Z09OU0JTTlVhNHZVVmxnenduemZaUGN4SzJvNUV0bUpRVS9tc29pK3VsaEFVbDloWjdleGphaE04NUgvUGxtaE52a1ZPQkg3a2NTaURYV09vbEFrWkVYWDFGOUQ4V09vTEwyUTBLMms9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-208122</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>4159 0000 06 0417 22</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>30-03-2023 18:00:00 CET  (ISO: 2023-03-30T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">19-04-2023 18:00:00 CET </strong> (ISO: 2023-04-19T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>27.939,51 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8801</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>126.480,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.529,60 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>6.324,00 €</td>
</tr>
</table>"
SUBASTA SUB-NE-2023-1176029,Notaría de María Pilar Nácher Martí - Vila-real,Estado: Celebrándose - [Conclusión prevista: 17/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 17/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-NE-2023-1176029&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYjNvMmxwYWtLaUkwblQ1SFY5RUJ3TGdUY0JscnBIa25tTlJQMmtScXJVakZhejhNY1pnQitEY096c012RXAzcFlHQVF5Z1k5OU1CSVVqTmw1RXdWay9lVDd5QnBDR08ydDhJYVQ0dFJkaDFWM0UxaFZwTkZleGNhVWI5Vmp4R1gxYUNEMk5nc3FjenVSNlVSSi9vVkIwMmQyUk5DN1VSb2ZTU1JEak93NkIyTmg5Z09OU0JTTlVhNHZVVmxnenduemZaUGN4SzJvNUV0bUpRVS9tc29pK3VsaEFVbDloWjdleGphaE04NUgvUGxtaE52a1ZPQkg3a2NTaURYV09vbEFrWkVYWDFGOUQ4V09vTEwyUTBLMms9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-NE-2023-1176029</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>NOTARIAL EN VENTA EXTRAJUDICIAL</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>28-03-2023 18:00:00 CET  (ISO: 2023-03-28T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">17-04-2023 18:00:00 CET </strong> (ISO: 2023-04-17T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>224.063,59 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8721</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>No consta</td>
</tr>
<tr>
<th>Tasación</th>
<td>309.033,60 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Sin tramos</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>15.451,68 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2022-207292,JUZGADO de 1a INSTANCIA 5 - CASTELLON DE LA PLANA,Expediente: 0557/14,Expediente: 0557/14,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-207292&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYjNvMmxwYWtLaUkwblQ1SFY5RUJ3TGdUY0JscnBIa25tTlJQMmtScXJVakZhejhNY1pnQitEY096c012RXAzcFlHQVF5Z1k5OU1CSVVqTmw1RXdWay9lVDd5QnBDR08ydDhJYVQ0dFJkaDFWM0UxaFZwTkZleGNhVWI5Vmp4R1gxYUNEMk5nc3FjenVSNlVSSi9vVkIwMmQyUk5DN1VSb2ZTU1JEak93NkIyTmg5Z09OU0JTTlVhNHZVVmxnenduemZaUGN4SzJvNUV0bUpRVS9tc29pK3VsaEFVbDloWjdleGphaE04NUgvUGxtaE52a1ZPQkg3a2NTaURYV09vbEFrWkVYWDFGOUQ4V09vTEwyUTBLMms9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-207292</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1333 0000 06 0557 14</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>28-03-2023 18:00:00 CET  (ISO: 2023-03-28T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">17-04-2023 18:00:00 CET </strong> (ISO: 2023-04-17T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>62.651,96 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8471</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>100.000,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.000,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>5.000,00 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-208652,JUZGADO de 1a INST E INSTRUCC. 1 - VINAROS,Expediente: 0403/20,Expediente: 0403/20,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-208652&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYjNvMmxwYWtLaUkwblQ1SFY5RUJ3TGdUY0JscnBIa25tTlJQMmtScXJVakZhejhNY1pnQitEY096c012RXAzcFlHQVF5Z1k5OU1CSVVqTmw1RXdWay9lVDd5QnBDR08ydDhJYVQ0dFJkaDFWM0UxaFZwTkZleGNhVWI5Vmp4R1gxYUNEMk5nc3FjenVSNlVSSi9vVkIwMmQyUk5DN1VSb2ZTU1JEak93NkIyTmg5Z09OU0JTTlVhNHZVVmxnenduemZaUGN4SzJvNUV0bUpRVS9tc29pK3VsaEFVbDloWjdleGphaE04NUgvUGxtaE52a1ZPQkg3a2NTaURYV09vbEFrWkVYWDFGOUQ4V09vTEwyUTBLMms9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-208652</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1352 0000 06 0403 20</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>28-03-2023 18:00:00 CET  (ISO: 2023-03-28T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">17-04-2023 18:00:00 CET </strong> (ISO: 2023-04-17T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>75.546,72 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8579</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>131.250,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.625,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>6.562,50 €</td>
</tr>
</table>"
