titulo,donde,expediente,descripcion,link,datos_tabla
SUBASTA SUB-JA-2023-210307,JUZGADO de 1a INST E INSTRUCC. 2 - VALVERDE DEL CAMINO,Expediente: 0308/10,Expediente: 0308/10,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210307&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYjNvMmxwYWtLaUkwblQ1SFY5RUJ3TGdUY0JscnBIa25tTlJQMmtScXJVakZhejhNY1pnQitEY096c012RXAzcFlHQVF5Z1k5OU1CSVVqTmw1RXdWay9lVDd5QnBDR08ydDhJYVQ0dFJkaDFWM0UxaFZwTkZleGNhVWI5Vmp4R1gxYUNEMk5nc3FjenVSNlVSSi9vVkIwMmQyUk5DN1VSb2ZTU1JEak93NkIyaGlxU1ErRDU5My9SOFB2ZGNEQStBZ2x1UnBEaXV0SU4xYkJZTTh2RE9NanlUenR0ZG0zTlNmOXFJUXp3QjYvMURwZnBURWVsZHpLN0pqbmNYQkxFSTJiZTZjdm9YNzFRV2tRVUZWTndkeUE9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210307</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1947 0000 05 0308 10</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>50.263,87 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9988</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>28.537,24 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>570,74 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>1.426,86 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2022-203335,JUZGADO de 1a INSTANCIA 5 - HUELVA,Expediente: 1277/21,Expediente: 1277/21,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-203335&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYjNvMmxwYWtLaUkwblQ1SFY5RUJ3TGdUY0JscnBIa25tTlJQMmtScXJVakZhejhNY1pnQitEY096c012RXAzcFlHQVF5Z1k5OU1CSVVqTmw1RXdWay9lVDd5QnBDR08ydDhJYVQ0dFJkaDFWM0UxaFZwTkZleGNhVWI5Vmp4R1gxYUNEMk5nc3FjenVSNlVSSi9vVkIwMmQyUk5DN1VSb2ZTU1JEak93NkIyaGlxU1ErRDU5My9SOFB2ZGNEQStBZ2x1UnBEaXV0SU4xYkJZTTh2RE9NanlUenR0ZG0zTlNmOXFJUXp3QjYvMURwZnBURWVsZHpLN0pqbmNYQkxFSTJiZTZjdm9YNzFRV2tRVUZWTndkeUE9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-203335</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1921 0000 06 1277 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>17.847,74 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9457</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>56.161,98 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.123,23 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>2.808,09 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210363,JUZGADO de 1a INST E INSTRUCC. 2 - MOGUER,Expediente: 0888/11,Expediente: 0888/11,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210363&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYjNvMmxwYWtLaUkwblQ1SFY5RUJ3TGdUY0JscnBIa25tTlJQMmtScXJVakZhejhNY1pnQitEY096c012RXAzcFlHQVF5Z1k5OU1CSVVqTmw1RXdWay9lVDd5QnBDR08ydDhJYVQ0dFJkaDFWM0UxaFZwTkZleGNhVWI5Vmp4R1gxYUNEMk5nc3FjenVSNlVSSi9vVkIwMmQyUk5DN1VSb2ZTU1JEak93NkIyaGlxU1ErRDU5My9SOFB2ZGNEQStBZ2x1UnBEaXV0SU4xYkJZTTh2RE9NanlUenR0ZG0zTlNmOXFJUXp3QjYvMURwZnBURWVsZHpLN0pqbmNYQkxFSTJiZTZjdm9YNzFRV2tRVUZWTndkeUE9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210363</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1937 0000 06 0888 11</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>500.458,70 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9491</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>782.384,62 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>15.647,69 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>39.119,23 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-207977,JUZGADO de 1a INSTANCIA 2 - HUELVA,Expediente: 1647/21,Expediente: 1647/21,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-207977&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYjNvMmxwYWtLaUkwblQ1SFY5RUJ3TGdUY0JscnBIa25tTlJQMmtScXJVakZhejhNY1pnQitEY096c012RXAzcFlHQVF5Z1k5OU1CSVVqTmw1RXdWay9lVDd5QnBDR08ydDhJYVQ0dFJkaDFWM0UxaFZwTkZleGNhVWI5Vmp4R1gxYUNEMk5nc3FjenVSNlVSSi9vVkIwMmQyUk5DN1VSb2ZTU1JEak93NkIyaGlxU1ErRDU5My9SOFB2ZGNEQStBZ2x1UnBEaXV0SU4xYkJZTTh2RE9NanlUenR0ZG0zTlNmOXFJUXp3QjYvMURwZnBURWVsZHpLN0pqbmNYQkxFSTJiZTZjdm9YNzFRV2tRVUZWTndkeUE9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-207977</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1912 0000 06 1647 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>18.161,58 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9456</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>57.150,56 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>57.150,56 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.200,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>2.857,52 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210443,JUZGADO de 1a INST E INSTRUCC. 1 - PALMA CONDADO,Expediente: 1114/15,Expediente: 1114/15,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210443&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYjNvMmxwYWtLaUkwblQ1SFY5RUJ3TGdUY0JscnBIa25tTlJQMmtScXJVakZhejhNY1pnQitEY096c012RXAzcFlHQVF5Z1k5OU1CSVVqTmw1RXdWay9lVDd5QnBDR08ydDhJYVQ0dFJkaDFWM0UxaFZwTkZleGNhVWI5Vmp4R1gxYUNEMk5nc3FjenVSNlVSSi9vVkIwMmQyUk5DN1VSb2ZTU1JEak93NkIyaGlxU1ErRDU5My9SOFB2ZGNEQStBZ2x1UnBEaXV0SU4xYkJZTTh2RE9NanlUenR0ZG0zTlNmOXFJUXp3QjYvMURwZnBURWVsZHpLN0pqbmNYQkxFSTJiZTZjdm9YNzFRV2tRVUZWTndkeUE9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210443</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1939 0000 06 1114 15</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>31-03-2023 18:00:00 CET  (ISO: 2023-03-31T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">20-04-2023 18:00:00 CET </strong> (ISO: 2023-04-20T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>68.718,92 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8984</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>86.616,34 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>86.616,34 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.732,33 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>4.330,82 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2022-195055,JUZGADO de 1a INSTANCIA 6 - HUELVA,Expediente: 1567/21,Expediente: 1567/21,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-195055&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYjNvMmxwYWtLaUkwblQ1SFY5RUJ3TGdUY0JscnBIa25tTlJQMmtScXJVakZhejhNY1pnQitEY096c012RXAzcFlHQVF5Z1k5OU1CSVVqTmw1RXdWay9lVDd5QnBDR08ydDhJYVQ0dFJkaDFWM0UxaFZwTkZleGNhVWI5Vmp4R1gxYUNEMk5nc3FjenVSNlVSSi9vVkIwMmQyUk5DN1VSb2ZTU1JEak93NkIyaGlxU1ErRDU5My9SOFB2ZGNEQStBZ2x1UnBEaXV0SU4xYkJZTTh2RE9NanlUenR0ZG0zTlNmOXFJUXp3QjYvMURwZnBURWVsZHpLN0pqbmNYQkxFSTJiZTZjdm9YNzFRV2tRVUZWTndkeUE9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-195055</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1922 0000 06 1567 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>30-03-2023 18:00:00 CET  (ISO: 2023-03-30T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">19-04-2023 18:00:00 CET </strong> (ISO: 2023-04-19T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>30.740,55 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8756</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>96.733,62 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.934,67 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>4.836,68 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2022-198077,JUZGADO de 1a INST E INSTRUCC. 2 - AYAMONTE,Expediente: 0622/15,Expediente: 0622/15,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-198077&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYjNvMmxwYWtLaUkwblQ1SFY5RUJ3TGdUY0JscnBIa25tTlJQMmtScXJVakZhejhNY1pnQitEY096c012RXAzcFlHQVF5Z1k5OU1CSVVqTmw1RXdWay9lVDd5QnBDR08ydDhJYVQ0dFJkaDFWM0UxaFZwTkZleGNhVWI5Vmp4R1gxYUNEMk5nc3FjenVSNlVSSi9vVkIwMmQyUk5DN1VSb2ZTU1JEak93NkIyaGlxU1ErRDU5My9SOFB2ZGNEQStBZ2x1UnBEaXV0SU4xYkJZTTh2RE9NanlUenR0ZG0zTlNmOXFJUXp3QjYvMURwZnBURWVsZHpLN0pqbmNYQkxFSTJiZTZjdm9YNzFRV2tRVUZWTndkeUE9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-198077</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1906 0000 06 0622 15</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>28-03-2023 18:00:00 CET  (ISO: 2023-03-28T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">17-04-2023 18:00:00 CET </strong> (ISO: 2023-04-17T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>134.012,58 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8460</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>252.000,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>5.040,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>12.600,00 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2022-196464,JUZGADO de 1a INSTANCIA 1 - HUELVA,Expediente: 0535/16,Expediente: 0535/16,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-196464&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYjNvMmxwYWtLaUkwblQ1SFY5RUJ3TGdUY0JscnBIa25tTlJQMmtScXJVakZhejhNY1pnQitEY096c012RXAzcFlHQVF5Z1k5OU1CSVVqTmw1RXdWay9lVDd5QnBDR08ydDhJYVQ0dFJkaDFWM0UxaFZwTkZleGNhVWI5Vmp4R1gxYUNEMk5nc3FjenVSNlVSSi9vVkIwMmQyUk5DN1VSb2ZTU1JEak93NkIyaGlxU1ErRDU5My9SOFB2ZGNEQStBZ2x1UnBEaXV0SU4xYkJZTTh2RE9NanlUenR0ZG0zTlNmOXFJUXp3QjYvMURwZnBURWVsZHpLN0pqbmNYQkxFSTJiZTZjdm9YNzFRV2tRVUZWTndkeUE9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-196464</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1911 0000 06 0535 16</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>28-03-2023 18:00:00 CET  (ISO: 2023-03-28T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">17-04-2023 18:00:00 CET </strong> (ISO: 2023-04-17T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>275.352,12 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8503</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>466.892,48 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>466.892,48 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>9.500,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>23.344,62 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210206 (3 lotes),JUZGADO de 1a INST E INSTRUCC. 2 - ARACENA,Expediente: 0413/19,Expediente: 0413/19,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210206&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYjNvMmxwYWtLaUkwblQ1SFY5RUJ3TGdUY0JscnBIa25tTlJQMmtScXJVakZhejhNY1pnQitEY096c012RXAzcFlHQVF5Z1k5OU1CSVVqTmw1RXdWay9lVDd5QnBDR08ydDhJYVQ0dFJkaDFWM0UxaFZwTkZleGNhVWI5Vmp4R1gxYUNEMk5nc3FjenVSNlVSSi9vVkIwMmQyUk5DN1VSb2ZTU1JEak93NkIyaGlxU1ErRDU5My9SOFB2ZGNEQStBZ2x1UnBEaXV0SU4xYkJZTTh2RE9NanlUenR0ZG0zTlNmOXFJUXp3QjYvMURwZnBURWVsZHpLN0pqbmNYQkxFSTJiZTZjdm9YNzFRV2tRVUZWTndkeUE9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210206</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1902 0000 06 0413 19</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>21-03-2023 18:00:00 CET  (ISO: 2023-03-21T18:00:00+01:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">10-04-2023 18:00:00 CET </strong> (ISO: 2023-04-10T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>179.674,07 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>3</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-7755</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
SUBASTA SUB-AT-2023-22R4186001705,U.R. SUBASTAS ANDALUCIA 41 - SEVILLA,Estado: Celebrándose - [Conclusión prevista: 10/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 10/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-22R4186001705&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYjNvMmxwYWtLaUkwblQ1SFY5RUJ3TGdUY0JscnBIa25tTlJQMmtScXJVakZhejhNY1pnQitEY096c012RXAzcFlHQVF5Z1k5OU1CSVVqTmw1RXdWay9lVDd5QnBDR08ydDhJYVQ0dFJkaDFWM0UxaFZwTkZleGNhVWI5Vmp4R1gxYUNEMk5nc3FjenVSNlVSSi9vVkIwMmQyUk5DN1VSb2ZTU1JEak93NkIyaGlxU1ErRDU5My9SOFB2ZGNEQStBZ2x1UnBEaXV0SU4xYkJZTTh2RE9NanlUenR0ZG0zTlNmOXFJUXp3QjYvMURwZnBURWVsZHpLN0pqbmNYQkxFSTJiZTZjdm9YNzFRV2tRVUZWTndkeUE9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-22R4186001705</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>21-03-2023 18:00:00 CET  (ISO: 2023-03-21T18:00:00+01:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">10-04-2023 18:00:00 CET </strong> (ISO: 2023-04-10T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8005</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>3.989,76 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>3.989,76 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>200,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>199,48 €</td>
</tr>
</table>"
