titulo,donde,expediente,descripcion,link,datos_tabla
SUBASTA SUB-JA-2023-208482 (3 lotes),JUZGADO de 1a INST E INSTRUCC. 2 - JACA,Expediente: 0004/22,Expediente: 0004/22,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-208482&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXbUpITUE3cnovMUVTRDByVUhoMWV6TTJxY1FUNE5YUmhDUjBYU29WT2pWaG15S0c1QW5OclNXMzVVVXNkVE1jS25VQis5MGN4cGFRaUxzOHY0UXNvbjFGQWpCSW41c1RXVWRHVHR2NWZ5MXR4ck1lbXA5K05lTlNOakdKTlo3NS9sRTFSWWNZRS9teHRCTzV5TmFORkZYSWY2S01McktRM01kSmVsMW9SSVhxYlNxTURhQU9qUXNRdE5ONmp2b2R6YVozU3BIZkhuSGxvTEt0a3RXQmNZK3llc3NSb3BlVFdteDZzT2NQZTdnRlVLeUNKS2xSUUJ2N0d6LzJGK1RLSHQvWXU4bUVXcGlaaDJoMmJqd085U2M9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-208482</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1992 0000 06 0004 22</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>29.623,88 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>3</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9963</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
SUBASTA SUB-JA-2023-211314,JUZGADO de 1a INST E INSTRUCC. 2 - JACA,Expediente: 0125/12,Expediente: 0125/12,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-211314&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXbUpITUE3cnovMUVTRDByVUhoMWV6TTJxY1FUNE5YUmhDUjBYU29WT2pWaG15S0c1QW5OclNXMzVVVXNkVE1jS25VQis5MGN4cGFRaUxzOHY0UXNvbjFGQWpCSW41c1RXVWRHVHR2NWZ5MXR4ck1lbXA5K05lTlNOakdKTlo3NS9sRTFSWWNZRS9teHRCTzV5TmFORkZYSWY2S01McktRM01kSmVsMW9SSVhxYlNxTURhQU9qUXNRdE5ONmp2b2R6YVozU3BIZkhuSGxvTEt0a3RXQmNZK3llc3NSb3BlVFdteDZzT2NQZTdnRlVLeUNKS2xSUUJ2N0d6LzJGK1RLSHQvWXU4bUVXcGlaaDJoMmJqd085U2M9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-211314</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1992 0000 06 0125 12</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>06-04-2023 18:00:00 CET  (ISO: 2023-04-06T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">26-04-2023 18:00:00 CET </strong> (ISO: 2023-04-26T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>115.980,03 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9809</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>128.394,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.567,88 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>6.419,70 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-211189,JUZGADO de 1a INST E INSTRUCC. 2 - JACA,Expediente: 0075/22,Expediente: 0075/22,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-211189&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXbUpITUE3cnovMUVTRDByVUhoMWV6TTJxY1FUNE5YUmhDUjBYU29WT2pWaG15S0c1QW5OclNXMzVVVXNkVE1jS25VQis5MGN4cGFRaUxzOHY0UXNvbjFGQWpCSW41c1RXVWRHVHR2NWZ5MXR4ck1lbXA5K05lTlNOakdKTlo3NS9sRTFSWWNZRS9teHRCTzV5TmFORkZYSWY2S01McktRM01kSmVsMW9SSVhxYlNxTURhQU9qUXNRdE5ONmp2b2R6YVozU3BIZkhuSGxvTEt0a3RXQmNZK3llc3NSb3BlVFdteDZzT2NQZTdnRlVLeUNKS2xSUUJ2N0d6LzJGK1RLSHQvWXU4bUVXcGlaaDJoMmJqd085U2M9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-211189</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1992 0000 06 0075 22</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>06-04-2023 18:00:00 CET  (ISO: 2023-04-06T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">26-04-2023 18:00:00 CET </strong> (ISO: 2023-04-26T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>170.890,95 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9810</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>220.463,27 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>4.409,26 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>11.023,16 €</td>
</tr>
</table>"
SUBASTA SUB-AT-2023-22R2886001764,U.R. SUBASTAS MADRID - MADRID,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-22R2886001764&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXbUpITUE3cnovMUVTRDByVUhoMWV6TTJxY1FUNE5YUmhDUjBYU29WT2pWaG15S0c1QW5OclNXMzVVVXNkVE1jS25VQis5MGN4cGFRaUxzOHY0UXNvbjFGQWpCSW41c1RXVWRHVHR2NWZ5MXR4ck1lbXA5K05lTlNOakdKTlo3NS9sRTFSWWNZRS9teHRCTzV5TmFORkZYSWY2S01McktRM01kSmVsMW9SSVhxYlNxTURhQU9qUXNRdE5ONmp2b2R6YVozU3BIZkhuSGxvTEt0a3RXQmNZK3llc3NSb3BlVFdteDZzT2NQZTdnRlVLeUNKS2xSUUJ2N0d6LzJGK1RLSHQvWXU4bUVXcGlaaDJoMmJqd085U2M9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-22R2886001764</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9688</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>4.596,01 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>4.596,01 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>200,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>229,80 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-207638 (6 lotes),JUZGADO de 1a INST E INSTRUCC. 1 - MONZON,Expediente: 0326/22,Expediente: 0326/22,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-207638&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXbUpITUE3cnovMUVTRDByVUhoMWV6TTJxY1FUNE5YUmhDUjBYU29WT2pWaG15S0c1QW5OclNXMzVVVXNkVE1jS25VQis5MGN4cGFRaUxzOHY0UXNvbjFGQWpCSW41c1RXVWRHVHR2NWZ5MXR4ck1lbXA5K05lTlNOakdKTlo3NS9sRTFSWWNZRS9teHRCTzV5TmFORkZYSWY2S01McktRM01kSmVsMW9SSVhxYlNxTURhQU9qUXNRdE5ONmp2b2R6YVozU3BIZkhuSGxvTEt0a3RXQmNZK3llc3NSb3BlVFdteDZzT2NQZTdnRlVLeUNKS2xSUUJ2N0d6LzJGK1RLSHQvWXU4bUVXcGlaaDJoMmJqd085U2M9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-207638</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1994 0000 06 0326 22</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>28.626,00 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>6</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9492</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
SUBASTA SUB-AT-2023-22R2886001772,U.R. SUBASTAS MADRID - MADRID,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-22R2886001772&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXbUpITUE3cnovMUVTRDByVUhoMWV6TTJxY1FUNE5YUmhDUjBYU29WT2pWaG15S0c1QW5OclNXMzVVVXNkVE1jS25VQis5MGN4cGFRaUxzOHY0UXNvbjFGQWpCSW41c1RXVWRHVHR2NWZ5MXR4ck1lbXA5K05lTlNOakdKTlo3NS9sRTFSWWNZRS9teHRCTzV5TmFORkZYSWY2S01McktRM01kSmVsMW9SSVhxYlNxTURhQU9qUXNRdE5ONmp2b2R6YVozU3BIZkhuSGxvTEt0a3RXQmNZK3llc3NSb3BlVFdteDZzT2NQZTdnRlVLeUNKS2xSUUJ2N0d6LzJGK1RLSHQvWXU4bUVXcGlaaDJoMmJqd085U2M9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-22R2886001772</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9696</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>3.447,01 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>3.447,01 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>200,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>172,35 €</td>
</tr>
</table>"
SUBASTA SUB-AT-2023-22R2886001771,U.R. SUBASTAS MADRID - MADRID,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-22R2886001771&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXbUpITUE3cnovMUVTRDByVUhoMWV6TTJxY1FUNE5YUmhDUjBYU29WT2pWaG15S0c1QW5OclNXMzVVVXNkVE1jS25VQis5MGN4cGFRaUxzOHY0UXNvbjFGQWpCSW41c1RXVWRHVHR2NWZ5MXR4ck1lbXA5K05lTlNOakdKTlo3NS9sRTFSWWNZRS9teHRCTzV5TmFORkZYSWY2S01McktRM01kSmVsMW9SSVhxYlNxTURhQU9qUXNRdE5ONmp2b2R6YVozU3BIZkhuSGxvTEt0a3RXQmNZK3llc3NSb3BlVFdteDZzT2NQZTdnRlVLeUNKS2xSUUJ2N0d6LzJGK1RLSHQvWXU4bUVXcGlaaDJoMmJqd085U2M9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-22R2886001771</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9695</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>3.447,01 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>3.447,01 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>200,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>172,35 €</td>
</tr>
</table>"
SUBASTA SUB-AT-2023-22R2886001770,U.R. SUBASTAS MADRID - MADRID,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-22R2886001770&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXbUpITUE3cnovMUVTRDByVUhoMWV6TTJxY1FUNE5YUmhDUjBYU29WT2pWaG15S0c1QW5OclNXMzVVVXNkVE1jS25VQis5MGN4cGFRaUxzOHY0UXNvbjFGQWpCSW41c1RXVWRHVHR2NWZ5MXR4ck1lbXA5K05lTlNOakdKTlo3NS9sRTFSWWNZRS9teHRCTzV5TmFORkZYSWY2S01McktRM01kSmVsMW9SSVhxYlNxTURhQU9qUXNRdE5ONmp2b2R6YVozU3BIZkhuSGxvTEt0a3RXQmNZK3llc3NSb3BlVFdteDZzT2NQZTdnRlVLeUNKS2xSUUJ2N0d6LzJGK1RLSHQvWXU4bUVXcGlaaDJoMmJqd085U2M9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-22R2886001770</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9694</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>3.447,01 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>3.447,01 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>200,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>172,35 €</td>
</tr>
</table>"
SUBASTA SUB-AT-2023-22R2886001769,U.R. SUBASTAS MADRID - MADRID,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-22R2886001769&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXbUpITUE3cnovMUVTRDByVUhoMWV6TTJxY1FUNE5YUmhDUjBYU29WT2pWaG15S0c1QW5OclNXMzVVVXNkVE1jS25VQis5MGN4cGFRaUxzOHY0UXNvbjFGQWpCSW41c1RXVWRHVHR2NWZ5MXR4ck1lbXA5K05lTlNOakdKTlo3NS9sRTFSWWNZRS9teHRCTzV5TmFORkZYSWY2S01McktRM01kSmVsMW9SSVhxYlNxTURhQU9qUXNRdE5ONmp2b2R6YVozU3BIZkhuSGxvTEt0a3RXQmNZK3llc3NSb3BlVFdteDZzT2NQZTdnRlVLeUNKS2xSUUJ2N0d6LzJGK1RLSHQvWXU4bUVXcGlaaDJoMmJqd085U2M9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-22R2886001769</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9693</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>3.447,01 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>3.447,01 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>200,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>172,35 €</td>
</tr>
</table>"
SUBASTA SUB-AT-2023-22R2886001768,U.R. SUBASTAS MADRID - MADRID,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-22R2886001768&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXbUpITUE3cnovMUVTRDByVUhoMWV6TTJxY1FUNE5YUmhDUjBYU29WT2pWaG15S0c1QW5OclNXMzVVVXNkVE1jS25VQis5MGN4cGFRaUxzOHY0UXNvbjFGQWpCSW41c1RXVWRHVHR2NWZ5MXR4ck1lbXA5K05lTlNOakdKTlo3NS9sRTFSWWNZRS9teHRCTzV5TmFORkZYSWY2S01McktRM01kSmVsMW9SSVhxYlNxTURhQU9qUXNRdE5ONmp2b2R6YVozU3BIZkhuSGxvTEt0a3RXQmNZK3llc3NSb3BlVFdteDZzT2NQZTdnRlVLeUNKS2xSUUJ2N0d6LzJGK1RLSHQvWXU4bUVXcGlaaDJoMmJqd085U2M9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-22R2886001768</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9692</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>3.447,01 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>3.447,01 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>200,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>172,35 €</td>
</tr>
</table>"
