titulo,donde,expediente,descripcion,link,datos_tabla
SUBASTA SUB-JA-2023-211451,JUZGADO SOCIAL 1 - PALMA DE MALLORCA,Expediente: 0017/16,Expediente: 0017/16,"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-211451&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TWVRRmIrNDZ0L0xzNDYxcGcvYXZTTUVmczFDOVVZMTBDVUtER2pBTjh6MFFlazM4UHIrR2dESXpDZ2lSS2JXcDMwNkY4eUVlZXFrZ3piL3RxeEhra1lndDhoeUxaTW45SDl2WGNGeXUxcFU2dVJBSXBCenF3TmtJbDd5dm1Mdi9IbVdOcGRITTJaaVZIcU1VcWFyVmVmR1NoYzZjdFNkRmtwVEl3bThxMTFyY0UrM29FVjhKVW1IR3ZWQldVSEF0WTA1aVhQK0Q0Vm5SK1F6L2x4bjZwMEJWRlFVMFQxVXFub1ppQ2JibTlPUVJJUzVqVWNtK1lJMEM1V0E2eTJHbTdzOFpmdXV4dE80aHNIODZaV1F5L1VZTmh2cDZWN1dpU1kzUzIweE4xZTQ,--250","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-211451</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>0464 0000 64 0017 16</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>173.228,90 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9995</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>752.119,89 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>879.182,15 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>15.042,39 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>37.605,99 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2020-161064,JUZGADO de 1a INST E INSTRUCC. 1 - MAO,Expediente: 0014/19,Expediente: 0014/19,"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2020-161064&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TWVRRmIrNDZ0L0xzNDYxcGcvYXZTTUVmczFDOVVZMTBDVUtER2pBTjh6MFFlazM4UHIrR2dESXpDZ2lSS2JXcDMwNkY4eUVlZXFrZ3piL3RxeEhra1lndDhoeUxaTW45SDl2WGNGeXUxcFU2dVJBSXBCenF3TmtJbDd5dm1Mdi9IbVdOcGRITTJaaVZIcU1VcWFyVmVmR1NoYzZjdFNkRmtwVEl3bThxMTFyY0UrM29FVjhKVW1IR3ZWQldVSEF0WTA1aVhQK0Q0Vm5SK1F6L2x4bjZwMEJWRlFVMFQxVXFub1ppQ2JibTlPUVJJUzVqVWNtK1lJMEM1V0E2eTJHbTdzOFpmdXV4dE80aHNIODZaV1F5L1VZTmh2cDZWN1dpU1kzUzIweE4xZTQ,--250","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2020-161064</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>0431 0000 18 0014 19</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>551.884,16 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9971</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>529.750,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Sin tramos</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>26.487,50 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2022-206767,JUZGADO de 1a INSTANCIA 15 - PALMA DE MALLORCA,Expediente: 0198/20,Expediente: 0198/20,"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-206767&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TWVRRmIrNDZ0L0xzNDYxcGcvYXZTTUVmczFDOVVZMTBDVUtER2pBTjh6MFFlazM4UHIrR2dESXpDZ2lSS2JXcDMwNkY4eUVlZXFrZ3piL3RxeEhra1lndDhoeUxaTW45SDl2WGNGeXUxcFU2dVJBSXBCenF3TmtJbDd5dm1Mdi9IbVdOcGRITTJaaVZIcU1VcWFyVmVmR1NoYzZjdFNkRmtwVEl3bThxMTFyY0UrM29FVjhKVW1IR3ZWQldVSEF0WTA1aVhQK0Q0Vm5SK1F6L2x4bjZwMEJWRlFVMFQxVXFub1ppQ2JibTlPUVJJUzVqVWNtK1lJMEM1V0E2eTJHbTdzOFpmdXV4dE80aHNIODZaV1F5L1VZTmh2cDZWN1dpU1kzUzIweE4xZTQ,--250","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-206767</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>0505 0000 05 0198 20</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>06-04-2023 18:00:00 CET  (ISO: 2023-04-06T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">26-04-2023 18:00:00 CET </strong> (ISO: 2023-04-26T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>4.295,02 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9817</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>343.650,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>343.650,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>6.873,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>17.182,50 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2022-198099 (2 lotes),JUZGADO de 1a INSTANCIA 2 - PALMA DE MALLORCA,Expediente: 1372/21,Expediente: 1372/21,"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-198099&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TWVRRmIrNDZ0L0xzNDYxcGcvYXZTTUVmczFDOVVZMTBDVUtER2pBTjh6MFFlazM4UHIrR2dESXpDZ2lSS2JXcDMwNkY4eUVlZXFrZ3piL3RxeEhra1lndDhoeUxaTW45SDl2WGNGeXUxcFU2dVJBSXBCenF3TmtJbDd5dm1Mdi9IbVdOcGRITTJaaVZIcU1VcWFyVmVmR1NoYzZjdFNkRmtwVEl3bThxMTFyY0UrM29FVjhKVW1IR3ZWQldVSEF0WTA1aVhQK0Q0Vm5SK1F6L2x4bjZwMEJWRlFVMFQxVXFub1ppQ2JibTlPUVJJUzVqVWNtK1lJMEM1V0E2eTJHbTdzOFpmdXV4dE80aHNIODZaV1F5L1VZTmh2cDZWN1dpU1kzUzIweE4xZTQ,--250","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-198099</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>0452 0000 06 1372 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>450.987,72 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>2</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9495</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
SUBASTA SUB-AT-2023-23R0786001019,U.R. SUBASTAS BALEARES - PALMA,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-23R0786001019&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TWVRRmIrNDZ0L0xzNDYxcGcvYXZTTUVmczFDOVVZMTBDVUtER2pBTjh6MFFlazM4UHIrR2dESXpDZ2lSS2JXcDMwNkY4eUVlZXFrZ3piL3RxeEhra1lndDhoeUxaTW45SDl2WGNGeXUxcFU2dVJBSXBCenF3TmtJbDd5dm1Mdi9IbVdOcGRITTJaaVZIcU1VcWFyVmVmR1NoYzZjdFNkRmtwVEl3bThxMTFyY0UrM29FVjhKVW1IR3ZWQldVSEF0WTA1aVhQK0Q0Vm5SK1F6L2x4bjZwMEJWRlFVMFQxVXFub1ppQ2JibTlPUVJJUzVqVWNtK1lJMEM1V0E2eTJHbTdzOFpmdXV4dE80aHNIODZaV1F5L1VZTmh2cDZWN1dpU1kzUzIweE4xZTQ,--250","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-23R0786001019</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9602</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>600.675,60 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>600.675,60 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>5.000,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>30.033,78 €</td>
</tr>
</table>"
SUBASTA SUB-AT-2023-23R0786001020,U.R. SUBASTAS BALEARES - PALMA,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-23R0786001020&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TWVRRmIrNDZ0L0xzNDYxcGcvYXZTTUVmczFDOVVZMTBDVUtER2pBTjh6MFFlazM4UHIrR2dESXpDZ2lSS2JXcDMwNkY4eUVlZXFrZ3piL3RxeEhra1lndDhoeUxaTW45SDl2WGNGeXUxcFU2dVJBSXBCenF3TmtJbDd5dm1Mdi9IbVdOcGRITTJaaVZIcU1VcWFyVmVmR1NoYzZjdFNkRmtwVEl3bThxMTFyY0UrM29FVjhKVW1IR3ZWQldVSEF0WTA1aVhQK0Q0Vm5SK1F6L2x4bjZwMEJWRlFVMFQxVXFub1ppQ2JibTlPUVJJUzVqVWNtK1lJMEM1V0E2eTJHbTdzOFpmdXV4dE80aHNIODZaV1F5L1VZTmh2cDZWN1dpU1kzUzIweE4xZTQ,--250","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-23R0786001020</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9604</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>314.880,40 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>314.880,40 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.000,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>15.744,02 €</td>
</tr>
</table>"
SUBASTA SUB-AT-2023-23R0786001023,U.R. SUBASTAS BALEARES - PALMA,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-23R0786001023&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TWVRRmIrNDZ0L0xzNDYxcGcvYXZTTUVmczFDOVVZMTBDVUtER2pBTjh6MFFlazM4UHIrR2dESXpDZ2lSS2JXcDMwNkY4eUVlZXFrZ3piL3RxeEhra1lndDhoeUxaTW45SDl2WGNGeXUxcFU2dVJBSXBCenF3TmtJbDd5dm1Mdi9IbVdOcGRITTJaaVZIcU1VcWFyVmVmR1NoYzZjdFNkRmtwVEl3bThxMTFyY0UrM29FVjhKVW1IR3ZWQldVSEF0WTA1aVhQK0Q0Vm5SK1F6L2x4bjZwMEJWRlFVMFQxVXFub1ppQ2JibTlPUVJJUzVqVWNtK1lJMEM1V0E2eTJHbTdzOFpmdXV4dE80aHNIODZaV1F5L1VZTmh2cDZWN1dpU1kzUzIweE4xZTQ,--250","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-23R0786001023</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9606</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>160.314,47 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>196.446,01 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.000,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>8.015,72 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-208685,JUZGADO de 1a INSTANCIA 3 - MANACOR,Expediente: 0042/15,Expediente: 0042/15,"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-208685&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TWVRRmIrNDZ0L0xzNDYxcGcvYXZTTUVmczFDOVVZMTBDVUtER2pBTjh6MFFlazM4UHIrR2dESXpDZ2lSS2JXcDMwNkY4eUVlZXFrZ3piL3RxeEhra1lndDhoeUxaTW45SDl2WGNGeXUxcFU2dVJBSXBCenF3TmtJbDd5dm1Mdi9IbVdOcGRITTJaaVZIcU1VcWFyVmVmR1NoYzZjdFNkRmtwVEl3bThxMTFyY0UrM29FVjhKVW1IR3ZWQldVSEF0WTA1aVhQK0Q0Vm5SK1F6L2x4bjZwMEJWRlFVMFQxVXFub1ppQ2JibTlPUVJJUzVqVWNtK1lJMEM1V0E2eTJHbTdzOFpmdXV4dE80aHNIODZaV1F5L1VZTmh2cDZWN1dpU1kzUzIweE4xZTQ,--250","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-208685</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>0440 0000 05 0042 15</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>31-03-2023 18:00:00 CET  (ISO: 2023-03-31T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">20-04-2023 18:00:00 CET </strong> (ISO: 2023-04-20T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>268.968,00 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8980</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>268.968,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>5.379,36 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>13.448,40 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210870,JUZGADO EJECUTORIA PENAL 8 - PALMA DE MALLORCA,Expediente: 4377/14,Expediente: 4377/14,"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210870&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TWVRRmIrNDZ0L0xzNDYxcGcvYXZTTUVmczFDOVVZMTBDVUtER2pBTjh6MFFlazM4UHIrR2dESXpDZ2lSS2JXcDMwNkY4eUVlZXFrZ3piL3RxeEhra1lndDhoeUxaTW45SDl2WGNGeXUxcFU2dVJBSXBCenF3TmtJbDd5dm1Mdi9IbVdOcGRITTJaaVZIcU1VcWFyVmVmR1NoYzZjdFNkRmtwVEl3bThxMTFyY0UrM29FVjhKVW1IR3ZWQldVSEF0WTA1aVhQK0Q0Vm5SK1F6L2x4bjZwMEJWRlFVMFQxVXFub1ppQ2JibTlPUVJJUzVqVWNtK1lJMEM1V0E2eTJHbTdzOFpmdXV4dE80aHNIODZaV1F5L1VZTmh2cDZWN1dpU1kzUzIweE4xZTQ,--250","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210870</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>0490 0000 78 4377 14</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>28-03-2023 18:00:00 CET  (ISO: 2023-03-28T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">17-04-2023 18:00:00 CET </strong> (ISO: 2023-04-17T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>7.277,77 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8593</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>52.722,23 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>60.000,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.054,44 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>2.636,11 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210864,JUZGADO EJECUTORIA PENAL 8 - PALMA DE MALLORCA,Expediente: 0737/19,Expediente: 0737/19,"https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210864&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2TWVRRmIrNDZ0L0xzNDYxcGcvYXZTTUVmczFDOVVZMTBDVUtER2pBTjh6MFFlazM4UHIrR2dESXpDZ2lSS2JXcDMwNkY4eUVlZXFrZ3piL3RxeEhra1lndDhoeUxaTW45SDl2WGNGeXUxcFU2dVJBSXBCenF3TmtJbDd5dm1Mdi9IbVdOcGRITTJaaVZIcU1VcWFyVmVmR1NoYzZjdFNkRmtwVEl3bThxMTFyY0UrM29FVjhKVW1IR3ZWQldVSEF0WTA1aVhQK0Q0Vm5SK1F6L2x4bjZwMEJWRlFVMFQxVXFub1ppQ2JibTlPUVJJUzVqVWNtK1lJMEM1V0E2eTJHbTdzOFpmdXV4dE80aHNIODZaV1F5L1VZTmh2cDZWN1dpU1kzUzIweE4xZTQ,--250","<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210864</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>0490 0000 78 0737 19</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>28-03-2023 18:00:00 CET  (ISO: 2023-03-28T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">17-04-2023 18:00:00 CET </strong> (ISO: 2023-04-17T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>13.120,00 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8592</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>65.880,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>79.000,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.317,60 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>3.294,00 €</td>
</tr>
</table>"
