titulo,donde,expediente,descripcion,link,datos_tabla
SUBASTA SUB-JA-2022-199764 (3 lotes),JUZGADO de 1a INST E INSTRUCC. 3 - UBEDA,Expediente: 0747/21,Expediente: 0747/21,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-199764&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXdERrU1gxSytFb1JSalZhRStISWNveGV5RU1Yem4xQUhMU3ZuaDNnaU50K3hhSTlUTGtLYnZ2VEFVK1k1N1Rwc0FvQkxQSFZYdmlnc3dQTEJiazBoNkpWTFNsZ2J6STRWbWdoOG1HbTllbklabzRMejVHaVk0YllFNGpuNWdiaDdhKzNFazRBVmxobHpYY1RvYlBsSURvS045V1RmUytwMCtYNG1vV3VMOEdFbUxLZkxIVDRaVEZVemRFY2xuQ3ZPbGVIS0J5SFNoSjZqU3dzLzQxQWpWOTJCVnBPaVlRL2I3eVpSbkNFL0duL0haa2w5STRoaHFQWkxCc0hVZjdUMGhwN1BqZGhmZE1CT043ekFLM210dXM9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-199764</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>2771 0000 06 0747 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>06-04-2023 18:00:00 CET  (ISO: 2023-04-06T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">26-04-2023 18:00:00 CET </strong> (ISO: 2023-04-26T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>9.145,52 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>3</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9832</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
SUBASTA SUB-JA-2023-211161,JUZGADO de 1a INST E INSTRUCC. 1 - LINARES,Expediente: 0129/18,Expediente: 0129/18,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-211161&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXdERrU1gxSytFb1JSalZhRStISWNveGV5RU1Yem4xQUhMU3ZuaDNnaU50K3hhSTlUTGtLYnZ2VEFVK1k1N1Rwc0FvQkxQSFZYdmlnc3dQTEJiazBoNkpWTFNsZ2J6STRWbWdoOG1HbTllbklabzRMejVHaVk0YllFNGpuNWdiaDdhKzNFazRBVmxobHpYY1RvYlBsSURvS045V1RmUytwMCtYNG1vV3VMOEdFbUxLZkxIVDRaVEZVemRFY2xuQ3ZPbGVIS0J5SFNoSjZqU3dzLzQxQWpWOTJCVnBPaVlRL2I3eVpSbkNFL0duL0haa2w5STRoaHFQWkxCc0hVZjdUMGhwN1BqZGhmZE1CT043ekFLM210dXM9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-211161</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>2059 0000 06 0129 18</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>06-04-2023 18:00:00 CET  (ISO: 2023-04-06T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">26-04-2023 18:00:00 CET </strong> (ISO: 2023-04-26T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>55.819,03 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9811</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>160.650,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>3.213,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>8.032,50 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-211003,JUZGADO de 1a INST E INSTRUCC. 2 - VILLACARRILLO,Expediente: 0318/21,Expediente: 0318/21,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-211003&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXdERrU1gxSytFb1JSalZhRStISWNveGV5RU1Yem4xQUhMU3ZuaDNnaU50K3hhSTlUTGtLYnZ2VEFVK1k1N1Rwc0FvQkxQSFZYdmlnc3dQTEJiazBoNkpWTFNsZ2J6STRWbWdoOG1HbTllbklabzRMejVHaVk0YllFNGpuNWdiaDdhKzNFazRBVmxobHpYY1RvYlBsSURvS045V1RmUytwMCtYNG1vV3VMOEdFbUxLZkxIVDRaVEZVemRFY2xuQ3ZPbGVIS0J5SFNoSjZqU3dzLzQxQWpWOTJCVnBPaVlRL2I3eVpSbkNFL0duL0haa2w5STRoaHFQWkxCc0hVZjdUMGhwN1BqZGhmZE1CT043ekFLM210dXM9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-211003</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>2085 0000 05 0318 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>06-04-2023 18:00:00 CET  (ISO: 2023-04-06T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">26-04-2023 18:00:00 CET </strong> (ISO: 2023-04-26T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>58.966,34 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9835</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>63.100,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>63.100,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.262,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>3.155,00 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2022-191358,JUZGADO de 1a INST E INSTRUCC. 2 - ANDUJAR,Expediente: 0686/20,Expediente: 0686/20,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-191358&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXdERrU1gxSytFb1JSalZhRStISWNveGV5RU1Yem4xQUhMU3ZuaDNnaU50K3hhSTlUTGtLYnZ2VEFVK1k1N1Rwc0FvQkxQSFZYdmlnc3dQTEJiazBoNkpWTFNsZ2J6STRWbWdoOG1HbTllbklabzRMejVHaVk0YllFNGpuNWdiaDdhKzNFazRBVmxobHpYY1RvYlBsSURvS045V1RmUytwMCtYNG1vV3VMOEdFbUxLZkxIVDRaVEZVemRFY2xuQ3ZPbGVIS0J5SFNoSjZqU3dzLzQxQWpWOTJCVnBPaVlRL2I3eVpSbkNFL0duL0haa2w5STRoaHFQWkxCc0hVZjdUMGhwN1BqZGhmZE1CT043ekFLM210dXM9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-191358</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>2018 0000 06 0686 20</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>413.951,74 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9401</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>976.724,75 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>19.534,49 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>48.836,23 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2022-205530,JUZGADO de 1a INST E INSTRUCC. 3 - LINARES,Expediente: 0478/21,Expediente: 0478/21,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-205530&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXdERrU1gxSytFb1JSalZhRStISWNveGV5RU1Yem4xQUhMU3ZuaDNnaU50K3hhSTlUTGtLYnZ2VEFVK1k1N1Rwc0FvQkxQSFZYdmlnc3dQTEJiazBoNkpWTFNsZ2J6STRWbWdoOG1HbTllbklabzRMejVHaVk0YllFNGpuNWdiaDdhKzNFazRBVmxobHpYY1RvYlBsSURvS045V1RmUytwMCtYNG1vV3VMOEdFbUxLZkxIVDRaVEZVemRFY2xuQ3ZPbGVIS0J5SFNoSjZqU3dzLzQxQWpWOTJCVnBPaVlRL2I3eVpSbkNFL0duL0haa2w5STRoaHFQWkxCc0hVZjdUMGhwN1BqZGhmZE1CT043ekFLM210dXM9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-205530</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>2064 0000 06 0478 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>32.146,62 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9463</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>69.165,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>69.165,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.383,30 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>3.458,25 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2022-204904,JUZGADO de 1a INST E INSTRUCC. 2 - LINARES,Expediente: 0650/21,Expediente: 0650/21,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-204904&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXdERrU1gxSytFb1JSalZhRStISWNveGV5RU1Yem4xQUhMU3ZuaDNnaU50K3hhSTlUTGtLYnZ2VEFVK1k1N1Rwc0FvQkxQSFZYdmlnc3dQTEJiazBoNkpWTFNsZ2J6STRWbWdoOG1HbTllbklabzRMejVHaVk0YllFNGpuNWdiaDdhKzNFazRBVmxobHpYY1RvYlBsSURvS045V1RmUytwMCtYNG1vV3VMOEdFbUxLZkxIVDRaVEZVemRFY2xuQ3ZPbGVIS0J5SFNoSjZqU3dzLzQxQWpWOTJCVnBPaVlRL2I3eVpSbkNFL0duL0haa2w5STRoaHFQWkxCc0hVZjdUMGhwN1BqZGhmZE1CT043ekFLM210dXM9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-204904</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>2061 0000 06 0650 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>91.417,07 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9464</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>104.941,75 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.098,83 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>5.247,08 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2018-99602 (2 lotes),JUZGADO de 1a INST E INSTRUCC. 2 - VILLACARRILLO,Expediente: 0507/12,Expediente: 0507/12,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2018-99602&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXdERrU1gxSytFb1JSalZhRStISWNveGV5RU1Yem4xQUhMU3ZuaDNnaU50K3hhSTlUTGtLYnZ2VEFVK1k1N1Rwc0FvQkxQSFZYdmlnc3dQTEJiazBoNkpWTFNsZ2J6STRWbWdoOG1HbTllbklabzRMejVHaVk0YllFNGpuNWdiaDdhKzNFazRBVmxobHpYY1RvYlBsSURvS045V1RmUytwMCtYNG1vV3VMOEdFbUxLZkxIVDRaVEZVemRFY2xuQ3ZPbGVIS0J5SFNoSjZqU3dzLzQxQWpWOTJCVnBPaVlRL2I3eVpSbkNFL0duL0haa2w5STRoaHFQWkxCc0hVZjdUMGhwN1BqZGhmZE1CT043ekFLM210dXM9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2018-99602</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>2085 0000 06 0507 12</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>38.309,64 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>2</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9531</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210989,JUZGADO de 1a INST E INSTRUCC. 1 - VILLACARRILLO,Expediente: 0038/21,Expediente: 0038/21,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210989&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXdERrU1gxSytFb1JSalZhRStISWNveGV5RU1Yem4xQUhMU3ZuaDNnaU50K3hhSTlUTGtLYnZ2VEFVK1k1N1Rwc0FvQkxQSFZYdmlnc3dQTEJiazBoNkpWTFNsZ2J6STRWbWdoOG1HbTllbklabzRMejVHaVk0YllFNGpuNWdiaDdhKzNFazRBVmxobHpYY1RvYlBsSURvS045V1RmUytwMCtYNG1vV3VMOEdFbUxLZkxIVDRaVEZVemRFY2xuQ3ZPbGVIS0J5SFNoSjZqU3dzLzQxQWpWOTJCVnBPaVlRL2I3eVpSbkNFL0duL0haa2w5STRoaHFQWkxCc0hVZjdUMGhwN1BqZGhmZE1CT043ekFLM210dXM9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210989</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>2083 0000 06 0038 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>21.612,75 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9532</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>45.000,17 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>900,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>2.250,00 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2022-205767,JUZGADO de 1a INSTANCIA 3 - JAEN,Expediente: 1842/21,Expediente: 1842/21,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-205767&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXdERrU1gxSytFb1JSalZhRStISWNveGV5RU1Yem4xQUhMU3ZuaDNnaU50K3hhSTlUTGtLYnZ2VEFVK1k1N1Rwc0FvQkxQSFZYdmlnc3dQTEJiazBoNkpWTFNsZ2J6STRWbWdoOG1HbTllbklabzRMejVHaVk0YllFNGpuNWdiaDdhKzNFazRBVmxobHpYY1RvYlBsSURvS045V1RmUytwMCtYNG1vV3VMOEdFbUxLZkxIVDRaVEZVemRFY2xuQ3ZPbGVIS0J5SFNoSjZqU3dzLzQxQWpWOTJCVnBPaVlRL2I3eVpSbkNFL0duL0haa2w5STRoaHFQWkxCc0hVZjdUMGhwN1BqZGhmZE1CT043ekFLM210dXM9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-205767</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>2041 0000 06 1842 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>214.687,77 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9461</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>298.600,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>5.972,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>14.930,00 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2022-205558,JUZGADO de 1a INST E INSTRUCC. 4 - LINARES,Expediente: 0548/20,Expediente: 0548/20,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-205558&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXdERrU1gxSytFb1JSalZhRStISWNveGV5RU1Yem4xQUhMU3ZuaDNnaU50K3hhSTlUTGtLYnZ2VEFVK1k1N1Rwc0FvQkxQSFZYdmlnc3dQTEJiazBoNkpWTFNsZ2J6STRWbWdoOG1HbTllbklabzRMejVHaVk0YllFNGpuNWdiaDdhKzNFazRBVmxobHpYY1RvYlBsSURvS045V1RmUytwMCtYNG1vV3VMOEdFbUxLZkxIVDRaVEZVemRFY2xuQ3ZPbGVIS0J5SFNoSjZqU3dzLzQxQWpWOTJCVnBPaVlRL2I3eVpSbkNFL0duL0haa2w5STRoaHFQWkxCc0hVZjdUMGhwN1BqZGhmZE1CT043ekFLM210dXM9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-205558</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>2068 0000 05 0548 20</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>39.461,48 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9465</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>62.268,64 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.245,37 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>3.113,43 €</td>
</tr>
</table>"
