titulo,donde,expediente,descripcion,link,datos_tabla
SUBASTA SUB-JA-2023-210305,JUZGADO de 1a INST E INSTRUCC. 2 - ARUCAS,Expediente: 0033/19,Expediente: 0033/19,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210305&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXc1pxS053SWxXK0tTbXh3bG5pRGtrL3hFeERCTkdqOVpsSkhTR1FSZFU0d0JEQ3YvNWxkUlg5dUpwdUxoS0hjRUpiMDV1TnVKYTB2bXBZQzI0TVZjeVBVRVRqU29zR0k4aHMvbks4NnpjTjZYbWFLYk02U0ZIa0dQMWFQbjE2YnJXZDVjaGJUZWJVU25uVGJaS3NwczZpZTB5UmRxblkySThZdkh1RDVZZVBMUmhPa0FkRTFMQUlqVlZ0ay9SMnZwdi9GQjY4SDNpNkJJYmVyclNBRktWeDBvOGNEbVVZYURFNjM4SjJyU1BFOW13NnpWSTZPMXdTd1AvdnVmRDJhbTBIYXlDQWRUMFdKNU1vRHJPTjJzNzQ9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210305</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3467 0000 06 0033 19</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>06-04-2023 18:00:00 CET  (ISO: 2023-04-06T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">26-04-2023 18:00:00 CET </strong> (ISO: 2023-04-26T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>133.610,00 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9790</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>278.025,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>5.560,50 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>13.901,25 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-209969,JUZGADO de 1a INSTANCIA 1 - TELDE,Expediente: 0039/19,Expediente: 0039/19,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-209969&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXc1pxS053SWxXK0tTbXh3bG5pRGtrL3hFeERCTkdqOVpsSkhTR1FSZFU0d0JEQ3YvNWxkUlg5dUpwdUxoS0hjRUpiMDV1TnVKYTB2bXBZQzI0TVZjeVBVRVRqU29zR0k4aHMvbks4NnpjTjZYbWFLYk02U0ZIa0dQMWFQbjE2YnJXZDVjaGJUZWJVU25uVGJaS3NwczZpZTB5UmRxblkySThZdkh1RDVZZVBMUmhPa0FkRTFMQUlqVlZ0ay9SMnZwdi9GQjY4SDNpNkJJYmVyclNBRktWeDBvOGNEbVVZYURFNjM4SjJyU1BFOW13NnpWSTZPMXdTd1AvdnVmRDJhbTBIYXlDQWRUMFdKNU1vRHJPTjJzNzQ9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-209969</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3530 0000 06 0039 19</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>85.809,85 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9518</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>113.249,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.264,98 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>5.662,45 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2022-195700,JUZGADO de 1a INST E INSTRUCC. 1 - ARUCAS,Expediente: 0165/18,Expediente: 0165/18,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-195700&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXc1pxS053SWxXK0tTbXh3bG5pRGtrL3hFeERCTkdqOVpsSkhTR1FSZFU0d0JEQ3YvNWxkUlg5dUpwdUxoS0hjRUpiMDV1TnVKYTB2bXBZQzI0TVZjeVBVRVRqU29zR0k4aHMvbks4NnpjTjZYbWFLYk02U0ZIa0dQMWFQbjE2YnJXZDVjaGJUZWJVU25uVGJaS3NwczZpZTB5UmRxblkySThZdkh1RDVZZVBMUmhPa0FkRTFMQUlqVlZ0ay9SMnZwdi9GQjY4SDNpNkJJYmVyclNBRktWeDBvOGNEbVVZYURFNjM4SjJyU1BFOW13NnpWSTZPMXdTd1AvdnVmRDJhbTBIYXlDQWRUMFdKNU1vRHJPTjJzNzQ9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-195700</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3466 0000 06 0165 18</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>14.437,41 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9404</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>183.000,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>3.660,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>9.150,00 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2020-152681 (33 lotes),JUZGADO de 1a INSTANCIA 4 - TELDE,Expediente: 0009/18,Expediente: 0009/18,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2020-152681&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXc1pxS053SWxXK0tTbXh3bG5pRGtrL3hFeERCTkdqOVpsSkhTR1FSZFU0d0JEQ3YvNWxkUlg5dUpwdUxoS0hjRUpiMDV1TnVKYTB2bXBZQzI0TVZjeVBVRVRqU29zR0k4aHMvbks4NnpjTjZYbWFLYk02U0ZIa0dQMWFQbjE2YnJXZDVjaGJUZWJVU25uVGJaS3NwczZpZTB5UmRxblkySThZdkh1RDVZZVBMUmhPa0FkRTFMQUlqVlZ0ay9SMnZwdi9GQjY4SDNpNkJJYmVyclNBRktWeDBvOGNEbVVZYURFNjM4SjJyU1BFOW13NnpWSTZPMXdTd1AvdnVmRDJhbTBIYXlDQWRUMFdKNU1vRHJPTjJzNzQ9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2020-152681</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3535 0000 06 0009 18</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>430.836,83 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>33</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9517</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
SUBASTA SUB-JA-2023-209996,JUZGADO de 1a INSTANCIA 1 - SAN BARTOLOME DE TIRAJANA,Expediente: 0384/14,Expediente: 0384/14,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-209996&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXc1pxS053SWxXK0tTbXh3bG5pRGtrL3hFeERCTkdqOVpsSkhTR1FSZFU0d0JEQ3YvNWxkUlg5dUpwdUxoS0hjRUpiMDV1TnVKYTB2bXBZQzI0TVZjeVBVRVRqU29zR0k4aHMvbks4NnpjTjZYbWFLYk02U0ZIa0dQMWFQbjE2YnJXZDVjaGJUZWJVU25uVGJaS3NwczZpZTB5UmRxblkySThZdkh1RDVZZVBMUmhPa0FkRTFMQUlqVlZ0ay9SMnZwdi9GQjY4SDNpNkJJYmVyclNBRktWeDBvOGNEbVVZYURFNjM4SjJyU1BFOW13NnpWSTZPMXdTd1AvdnVmRDJhbTBIYXlDQWRUMFdKNU1vRHJPTjJzNzQ9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-209996</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3519 0000 06 0384 14</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>71.708,00 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9505</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>144.000,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.880,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>7.200,00 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210177,JUZGADO de 1a INSTANCIA 4 - LAS PALMAS DE GRAN CANARIA,Expediente: 0094/22,Expediente: 0094/22,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210177&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXc1pxS053SWxXK0tTbXh3bG5pRGtrL3hFeERCTkdqOVpsSkhTR1FSZFU0d0JEQ3YvNWxkUlg5dUpwdUxoS0hjRUpiMDV1TnVKYTB2bXBZQzI0TVZjeVBVRVRqU29zR0k4aHMvbks4NnpjTjZYbWFLYk02U0ZIa0dQMWFQbjE2YnJXZDVjaGJUZWJVU25uVGJaS3NwczZpZTB5UmRxblkySThZdkh1RDVZZVBMUmhPa0FkRTFMQUlqVlZ0ay9SMnZwdi9GQjY4SDNpNkJJYmVyclNBRktWeDBvOGNEbVVZYURFNjM4SjJyU1BFOW13NnpWSTZPMXdTd1AvdnVmRDJhbTBIYXlDQWRUMFdKNU1vRHJPTjJzNzQ9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210177</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3477 0000 05 0094 22</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>59.073,64 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9462</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>94.133,08 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.882,66 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>4.706,65 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210123,JUZGADO de 1a INSTANCIA 2 - SAN BARTOLOME DE TIRAJANA,Expediente: 0274/17,Expediente: 0274/17,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210123&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXc1pxS053SWxXK0tTbXh3bG5pRGtrL3hFeERCTkdqOVpsSkhTR1FSZFU0d0JEQ3YvNWxkUlg5dUpwdUxoS0hjRUpiMDV1TnVKYTB2bXBZQzI0TVZjeVBVRVRqU29zR0k4aHMvbks4NnpjTjZYbWFLYk02U0ZIa0dQMWFQbjE2YnJXZDVjaGJUZWJVU25uVGJaS3NwczZpZTB5UmRxblkySThZdkh1RDVZZVBMUmhPa0FkRTFMQUlqVlZ0ay9SMnZwdi9GQjY4SDNpNkJJYmVyclNBRktWeDBvOGNEbVVZYURFNjM4SjJyU1BFOW13NnpWSTZPMXdTd1AvdnVmRDJhbTBIYXlDQWRUMFdKNU1vRHJPTjJzNzQ9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210123</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3520 0000 06 0274 17</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>156.342,96 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9506</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>256.000,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>256.000,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Sin tramos</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>12.800,00 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2021-170425,JUZGADO de 1a INST E INSTRUCC. 5 - PUERTO DEL ROSARIO,Expediente: 0016/18,Expediente: 0016/18,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2021-170425&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXc1pxS053SWxXK0tTbXh3bG5pRGtrL3hFeERCTkdqOVpsSkhTR1FSZFU0d0JEQ3YvNWxkUlg5dUpwdUxoS0hjRUpiMDV1TnVKYTB2bXBZQzI0TVZjeVBVRVRqU29zR0k4aHMvbks4NnpjTjZYbWFLYk02U0ZIa0dQMWFQbjE2YnJXZDVjaGJUZWJVU25uVGJaS3NwczZpZTB5UmRxblkySThZdkh1RDVZZVBMUmhPa0FkRTFMQUlqVlZ0ay9SMnZwdi9GQjY4SDNpNkJJYmVyclNBRktWeDBvOGNEbVVZYURFNjM4SjJyU1BFOW13NnpWSTZPMXdTd1AvdnVmRDJhbTBIYXlDQWRUMFdKNU1vRHJPTjJzNzQ9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2021-170425</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>4432 0000 06 0016 18</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>10-02-2023 18:00:00 CET  (ISO: 2023-02-10T18:00:00+01:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">22-04-2023 16:10:26 CET </strong> (ISO: 2023-04-22T16:10:26+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>573.510,11 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-3831</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>760.264,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>15.205,28 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>38.013,20 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210833,JUZGADO de 1a INSTANCIA 9 - LAS PALMAS DE GRAN CANARIA,Expediente: 0047/20,Expediente: 0047/20,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210833&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXc1pxS053SWxXK0tTbXh3bG5pRGtrL3hFeERCTkdqOVpsSkhTR1FSZFU0d0JEQ3YvNWxkUlg5dUpwdUxoS0hjRUpiMDV1TnVKYTB2bXBZQzI0TVZjeVBVRVRqU29zR0k4aHMvbks4NnpjTjZYbWFLYk02U0ZIa0dQMWFQbjE2YnJXZDVjaGJUZWJVU25uVGJaS3NwczZpZTB5UmRxblkySThZdkh1RDVZZVBMUmhPa0FkRTFMQUlqVlZ0ay9SMnZwdi9GQjY4SDNpNkJJYmVyclNBRktWeDBvOGNEbVVZYURFNjM4SjJyU1BFOW13NnpWSTZPMXdTd1AvdnVmRDJhbTBIYXlDQWRUMFdKNU1vRHJPTjJzNzQ9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210833</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3492 0000 06 0047 20</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>31-03-2023 18:00:00 CET  (ISO: 2023-03-31T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">20-04-2023 18:00:00 CET </strong> (ISO: 2023-04-20T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>29.500,00 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8968</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>74.920,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.498,40 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>3.746,00 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210553,JUZGADO de 1a INST E INSTRUCC. 2 - ARUCAS,Expediente: 0103/21,Expediente: 0103/21,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210553&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXc1pxS053SWxXK0tTbXh3bG5pRGtrL3hFeERCTkdqOVpsSkhTR1FSZFU0d0JEQ3YvNWxkUlg5dUpwdUxoS0hjRUpiMDV1TnVKYTB2bXBZQzI0TVZjeVBVRVRqU29zR0k4aHMvbks4NnpjTjZYbWFLYk02U0ZIa0dQMWFQbjE2YnJXZDVjaGJUZWJVU25uVGJaS3NwczZpZTB5UmRxblkySThZdkh1RDVZZVBMUmhPa0FkRTFMQUlqVlZ0ay9SMnZwdi9GQjY4SDNpNkJJYmVyclNBRktWeDBvOGNEbVVZYURFNjM4SjJyU1BFOW13NnpWSTZPMXdTd1AvdnVmRDJhbTBIYXlDQWRUMFdKNU1vRHJPTjJzNzQ9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210553</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3467 0000 06 0103 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>30-03-2023 18:00:00 CET  (ISO: 2023-03-30T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">19-04-2023 18:00:00 CET </strong> (ISO: 2023-04-19T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>52.023,06 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8735</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>110.926,80 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.218,53 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>5.546,34 €</td>
</tr>
</table>"
