titulo,donde,expediente,descripcion,link,datos_tabla
SUBASTA SUB-JA-2022-192014 (171 lotes),JUZGADO de 1a INSTANCIA 6 - LLEIDA,Expediente: 0334/17,Expediente: 0334/17,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-192014&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXbTZ5NU0vSjNUbDZ2eGNkNGdzNWcwRWt2M0p2a0x1M2Z0b21pMldScGNwcExmaFNQTGxSaW4xbnl5QjFBUVFrTm55dVNyL01uMUNTTUlnYng2TXpGQUY0L2tkZm5jQnV4Vi81OEd1anhlbFpjbTVVaUQvcGdrVDgreitWcmI4Yk9IOWRJMSt5RTBzWFJhODRaYUNZT0lsSFhUd1J6WTFUZjIzSGdOWUdvQWl2cGhWTStuVUxGV2RCRFBJMmRwMWtNQUZHRDhGZjhvelBhQkhlSXZPVTA3TFBPaXhYQm5lUmlYSHA5eEJuZTgxVGd6QXNaRXVtOU9kY3MyNzh2WjlWVzkveVB5K05ad2VhMHpKK1UycVZKTTQ9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-192014</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>2204 0000 06 0334 17</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>13.579.393,92 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>171</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9964</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210700,JUZGADO de 1a INSTANCIA 2 - LLEIDA,Expediente: 0731/16,Expediente: 0731/16,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210700&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXbTZ5NU0vSjNUbDZ2eGNkNGdzNWcwRWt2M0p2a0x1M2Z0b21pMldScGNwcExmaFNQTGxSaW4xbnl5QjFBUVFrTm55dVNyL01uMUNTTUlnYng2TXpGQUY0L2tkZm5jQnV4Vi81OEd1anhlbFpjbTVVaUQvcGdrVDgreitWcmI4Yk9IOWRJMSt5RTBzWFJhODRaYUNZT0lsSFhUd1J6WTFUZjIzSGdOWUdvQWl2cGhWTStuVUxGV2RCRFBJMmRwMWtNQUZHRDhGZjhvelBhQkhlSXZPVTA3TFBPaXhYQm5lUmlYSHA5eEJuZTgxVGd6QXNaRXVtOU9kY3MyNzh2WjlWVzkveVB5K05ad2VhMHpKK1UycVZKTTQ9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210700</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>2192 0000 05 0731 16</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>6.928,65 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9965</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>746,31 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Sin tramos</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>37,32 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-209858,JUZGADO de 1a INST E INSTRUCC. 2 - BALAGUER,Expediente: 0166/19,Expediente: 0166/19,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-209858&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXbTZ5NU0vSjNUbDZ2eGNkNGdzNWcwRWt2M0p2a0x1M2Z0b21pMldScGNwcExmaFNQTGxSaW4xbnl5QjFBUVFrTm55dVNyL01uMUNTTUlnYng2TXpGQUY0L2tkZm5jQnV4Vi81OEd1anhlbFpjbTVVaUQvcGdrVDgreitWcmI4Yk9IOWRJMSt5RTBzWFJhODRaYUNZT0lsSFhUd1J6WTFUZjIzSGdOWUdvQWl2cGhWTStuVUxGV2RCRFBJMmRwMWtNQUZHRDhGZjhvelBhQkhlSXZPVTA3TFBPaXhYQm5lUmlYSHA5eEJuZTgxVGd6QXNaRXVtOU9kY3MyNzh2WjlWVzkveVB5K05ad2VhMHpKK1UycVZKTTQ9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-209858</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>2182 0000 05 0166 19</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>17.251,93 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9947</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>52.051,54 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>52.051,54 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.041,03 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>2.602,58 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2022-193898 (3 lotes),JUZGADO de 1a INST E INSTRUCC. 1 - BALAGUER,Expediente: 0707/18,Expediente: 0707/18,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-193898&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXbTZ5NU0vSjNUbDZ2eGNkNGdzNWcwRWt2M0p2a0x1M2Z0b21pMldScGNwcExmaFNQTGxSaW4xbnl5QjFBUVFrTm55dVNyL01uMUNTTUlnYng2TXpGQUY0L2tkZm5jQnV4Vi81OEd1anhlbFpjbTVVaUQvcGdrVDgreitWcmI4Yk9IOWRJMSt5RTBzWFJhODRaYUNZT0lsSFhUd1J6WTFUZjIzSGdOWUdvQWl2cGhWTStuVUxGV2RCRFBJMmRwMWtNQUZHRDhGZjhvelBhQkhlSXZPVTA3TFBPaXhYQm5lUmlYSHA5eEJuZTgxVGd6QXNaRXVtOU9kY3MyNzh2WjlWVzkveVB5K05ad2VhMHpKK1UycVZKTTQ9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-193898</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>2180 0000 05 0707 18</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>157.031,28 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>3</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9946</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
SUBASTA SUB-JA-2022-196678,JUZGADO de 1a INSTANCIA 5 - LLEIDA,Expediente: 1539/19,Expediente: 1539/19,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-196678&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXbTZ5NU0vSjNUbDZ2eGNkNGdzNWcwRWt2M0p2a0x1M2Z0b21pMldScGNwcExmaFNQTGxSaW4xbnl5QjFBUVFrTm55dVNyL01uMUNTTUlnYng2TXpGQUY0L2tkZm5jQnV4Vi81OEd1anhlbFpjbTVVaUQvcGdrVDgreitWcmI4Yk9IOWRJMSt5RTBzWFJhODRaYUNZT0lsSFhUd1J6WTFUZjIzSGdOWUdvQWl2cGhWTStuVUxGV2RCRFBJMmRwMWtNQUZHRDhGZjhvelBhQkhlSXZPVTA3TFBPaXhYQm5lUmlYSHA5eEJuZTgxVGd6QXNaRXVtOU9kY3MyNzh2WjlWVzkveVB5K05ad2VhMHpKK1UycVZKTTQ9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-196678</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>2199 0000 05 1539 19</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>06-04-2023 18:00:00 CET  (ISO: 2023-04-06T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">26-04-2023 18:00:00 CET </strong> (ISO: 2023-04-26T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>176.937,40 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9812</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>259.317,45 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>5.186,35 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>12.965,87 €</td>
</tr>
</table>"
SUBASTA SUB-AT-2023-23R0886001024,U.R. SUBASTAS CATALUŃA - BARCELONA,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-23R0886001024&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXbTZ5NU0vSjNUbDZ2eGNkNGdzNWcwRWt2M0p2a0x1M2Z0b21pMldScGNwcExmaFNQTGxSaW4xbnl5QjFBUVFrTm55dVNyL01uMUNTTUlnYng2TXpGQUY0L2tkZm5jQnV4Vi81OEd1anhlbFpjbTVVaUQvcGdrVDgreitWcmI4Yk9IOWRJMSt5RTBzWFJhODRaYUNZT0lsSFhUd1J6WTFUZjIzSGdOWUdvQWl2cGhWTStuVUxGV2RCRFBJMmRwMWtNQUZHRDhGZjhvelBhQkhlSXZPVTA3TFBPaXhYQm5lUmlYSHA5eEJuZTgxVGd6QXNaRXVtOU9kY3MyNzh2WjlWVzkveVB5K05ad2VhMHpKK1UycVZKTTQ9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-23R0886001024</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9607</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>330.106,70 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>330.106,70 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.000,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>16.505,33 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2022-204305,JUZGADO de 1a INST E INSTRUCC. 2 - BALAGUER,Expediente: 3171/16,Expediente: 3171/16,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-204305&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXbTZ5NU0vSjNUbDZ2eGNkNGdzNWcwRWt2M0p2a0x1M2Z0b21pMldScGNwcExmaFNQTGxSaW4xbnl5QjFBUVFrTm55dVNyL01uMUNTTUlnYng2TXpGQUY0L2tkZm5jQnV4Vi81OEd1anhlbFpjbTVVaUQvcGdrVDgreitWcmI4Yk9IOWRJMSt5RTBzWFJhODRaYUNZT0lsSFhUd1J6WTFUZjIzSGdOWUdvQWl2cGhWTStuVUxGV2RCRFBJMmRwMWtNQUZHRDhGZjhvelBhQkhlSXZPVTA3TFBPaXhYQm5lUmlYSHA5eEJuZTgxVGd6QXNaRXVtOU9kY3MyNzh2WjlWVzkveVB5K05ad2VhMHpKK1UycVZKTTQ9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-204305</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>2182 0000 06 3171 16</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>103.593,20 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9411</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>268.500,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>268.500,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>5.370,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>13.425,00 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2021-174949 (2 lotes),JUZGADO de 1a INSTANCIA 8 - LLEIDA,Expediente: 1054/19,Expediente: 1054/19,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2021-174949&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXbTZ5NU0vSjNUbDZ2eGNkNGdzNWcwRWt2M0p2a0x1M2Z0b21pMldScGNwcExmaFNQTGxSaW4xbnl5QjFBUVFrTm55dVNyL01uMUNTTUlnYng2TXpGQUY0L2tkZm5jQnV4Vi81OEd1anhlbFpjbTVVaUQvcGdrVDgreitWcmI4Yk9IOWRJMSt5RTBzWFJhODRaYUNZT0lsSFhUd1J6WTFUZjIzSGdOWUdvQWl2cGhWTStuVUxGV2RCRFBJMmRwMWtNQUZHRDhGZjhvelBhQkhlSXZPVTA3TFBPaXhYQm5lUmlYSHA5eEJuZTgxVGd6QXNaRXVtOU9kY3MyNzh2WjlWVzkveVB5K05ad2VhMHpKK1UycVZKTTQ9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2021-174949</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>5107 0000 06 1054 19</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>458.628,65 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>2</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9468</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
SUBASTA SUB-RC-2023-2500700123102 (2 lotes),Ayuntamiento de Lleida - Lleida,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-RC-2023-2500700123102&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXbTZ5NU0vSjNUbDZ2eGNkNGdzNWcwRWt2M0p2a0x1M2Z0b21pMldScGNwcExmaFNQTGxSaW4xbnl5QjFBUVFrTm55dVNyL01uMUNTTUlnYng2TXpGQUY0L2tkZm5jQnV4Vi81OEd1anhlbFpjbTVVaUQvcGdrVDgreitWcmI4Yk9IOWRJMSt5RTBzWFJhODRaYUNZT0lsSFhUd1J6WTFUZjIzSGdOWUdvQWl2cGhWTStuVUxGV2RCRFBJMmRwMWtNQUZHRDhGZjhvelBhQkhlSXZPVTA3TFBPaXhYQm5lUmlYSHA5eEJuZTgxVGd6QXNaRXVtOU9kY3MyNzh2WjlWVzkveVB5K05ad2VhMHpKK1UycVZKTTQ9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-RC-2023-2500700123102</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>RECAUDACIÓN TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>2</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9725</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
SUBASTA SUB-JA-2023-209852,JUZGADO de 1a INST E INSTRUCC. 1 - CERVERA,Expediente: 0259/21,Expediente: 0259/21,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-209852&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXbTZ5NU0vSjNUbDZ2eGNkNGdzNWcwRWt2M0p2a0x1M2Z0b21pMldScGNwcExmaFNQTGxSaW4xbnl5QjFBUVFrTm55dVNyL01uMUNTTUlnYng2TXpGQUY0L2tkZm5jQnV4Vi81OEd1anhlbFpjbTVVaUQvcGdrVDgreitWcmI4Yk9IOWRJMSt5RTBzWFJhODRaYUNZT0lsSFhUd1J6WTFUZjIzSGdOWUdvQWl2cGhWTStuVUxGV2RCRFBJMmRwMWtNQUZHRDhGZjhvelBhQkhlSXZPVTA3TFBPaXhYQm5lUmlYSHA5eEJuZTgxVGd6QXNaRXVtOU9kY3MyNzh2WjlWVzkveVB5K05ad2VhMHpKK1UycVZKTTQ9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-209852</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>2186 0000 06 0259 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>106.717,09 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9431</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>128.079,13 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Sin tramos</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>6.403,96 €</td>
</tr>
</table>"
