titulo,donde,expediente,descripcion,link,datos_tabla
SUBASTA SUB-JA-2023-169222,JUZGADO de 1a INSTANCIA 1 - TORREJON DE ARDOZ,Expediente: 0321/15,Expediente: 0321/15,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-169222&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zVEVPVjA0bzNDZjdBTUpUZmUvVG91R2VQbHdsZVJtbHVicWxJSGtHV3o3YTM1bFFaNHc3eEFiK1FLRUlEa3NsVnQrM3ZqU0hqckU3bFg5L3BqL1o0Ky9Fcll0dXNjcXVpYW9rdjU0S1VhZTM1dXZtSHlrU0RFZ0FOVzUyZU10VFdGbU1sbkY4NnNjSTNtei8wdzJWYWw5VG9IQWpVUTVnVi9ZNDkyQllZZit5cXoyZ1FHTXlsUjJMUmJ4SmJBbkFaL1h6eWdQWVFETm5qOWt2ZlJLV2dwSTBWai9pUjNOWXVNd0JwVU5RMFRaMGRlSW5tN0ZDZllUazF2QmNTN3E0c2tzelE5eGRNMlVHVFlaRWdFcW5Yc009--500,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-169222</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>2704 0000 05 0321 15</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>427.331,83 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9984</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>412.720,72 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>8.254,41 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>20.636,03 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2022-190003,JUZGADO de 1a INSTANCIA 100 - MADRID,Expediente: 0018/19,Expediente: 0018/19,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-190003&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zVEVPVjA0bzNDZjdBTUpUZmUvVG91R2VQbHdsZVJtbHVicWxJSGtHV3o3YTM1bFFaNHc3eEFiK1FLRUlEa3NsVnQrM3ZqU0hqckU3bFg5L3BqL1o0Ky9Fcll0dXNjcXVpYW9rdjU0S1VhZTM1dXZtSHlrU0RFZ0FOVzUyZU10VFdGbU1sbkY4NnNjSTNtei8wdzJWYWw5VG9IQWpVUTVnVi9ZNDkyQllZZit5cXoyZ1FHTXlsUjJMUmJ4SmJBbkFaL1h6eWdQWVFETm5qOWt2ZlJLV2dwSTBWai9pUjNOWXVNd0JwVU5RMFRaMGRlSW5tN0ZDZllUazF2QmNTN3E0c2tzelE5eGRNMlVHVFlaRWdFcW5Yc009--500,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-190003</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>5066 0000 06 0018 19</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>408.245,57 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9967</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>698.700,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>13.974,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>34.935,00 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2022-197370 (4 lotes),JUZGADO de 1a INST E INSTRUCC. 2 - TORRELAGUNA,Expediente: 0503/14,Expediente: 0503/14,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-197370&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zVEVPVjA0bzNDZjdBTUpUZmUvVG91R2VQbHdsZVJtbHVicWxJSGtHV3o3YTM1bFFaNHc3eEFiK1FLRUlEa3NsVnQrM3ZqU0hqckU3bFg5L3BqL1o0Ky9Fcll0dXNjcXVpYW9rdjU0S1VhZTM1dXZtSHlrU0RFZ0FOVzUyZU10VFdGbU1sbkY4NnNjSTNtei8wdzJWYWw5VG9IQWpVUTVnVi9ZNDkyQllZZit5cXoyZ1FHTXlsUjJMUmJ4SmJBbkFaL1h6eWdQWVFETm5qOWt2ZlJLV2dwSTBWai9pUjNOWXVNd0JwVU5RMFRaMGRlSW5tN0ZDZllUazF2QmNTN3E0c2tzelE5eGRNMlVHVFlaRWdFcW5Yc009--500,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-197370</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>4861 0000 06 0503 14</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>433.046,97 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>4</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9985</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
SUBASTA SUB-JA-2022-206880,JUZGADO de 1a INSTANCIA 31 - MADRID,Expediente: 0478/16,Expediente: 0478/16,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-206880&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zVEVPVjA0bzNDZjdBTUpUZmUvVG91R2VQbHdsZVJtbHVicWxJSGtHV3o3YTM1bFFaNHc3eEFiK1FLRUlEa3NsVnQrM3ZqU0hqckU3bFg5L3BqL1o0Ky9Fcll0dXNjcXVpYW9rdjU0S1VhZTM1dXZtSHlrU0RFZ0FOVzUyZU10VFdGbU1sbkY4NnNjSTNtei8wdzJWYWw5VG9IQWpVUTVnVi9ZNDkyQllZZit5cXoyZ1FHTXlsUjJMUmJ4SmJBbkFaL1h6eWdQWVFETm5qOWt2ZlJLV2dwSTBWai9pUjNOWXVNd0JwVU5RMFRaMGRlSW5tN0ZDZllUazF2QmNTN3E0c2tzelE5eGRNMlVHVFlaRWdFcW5Yc009--500,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-206880</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>2459 0000 00 0478 16</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>235.387,55 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9968</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>252.200,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>200,00 €</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>5.044,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>12.610,00 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2021-179271,JUZGADO de 1a INSTANCIA 5 - MADRID,Expediente: 0157/16,Expediente: 0157/16,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2021-179271&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zVEVPVjA0bzNDZjdBTUpUZmUvVG91R2VQbHdsZVJtbHVicWxJSGtHV3o3YTM1bFFaNHc3eEFiK1FLRUlEa3NsVnQrM3ZqU0hqckU3bFg5L3BqL1o0Ky9Fcll0dXNjcXVpYW9rdjU0S1VhZTM1dXZtSHlrU0RFZ0FOVzUyZU10VFdGbU1sbkY4NnNjSTNtei8wdzJWYWw5VG9IQWpVUTVnVi9ZNDkyQllZZit5cXoyZ1FHTXlsUjJMUmJ4SmJBbkFaL1h6eWdQWVFETm5qOWt2ZlJLV2dwSTBWai9pUjNOWXVNd0JwVU5RMFRaMGRlSW5tN0ZDZllUazF2QmNTN3E0c2tzelE5eGRNMlVHVFlaRWdFcW5Yc009--500,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2021-179271</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>2433 0000 05 0157 16</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>78.988,41 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9969</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>16.885,04 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Sin tramos</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>844,25 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2021-179573,JUZGADO de 1a INST E INSTRUCC. 2 - NAVALCARNERO,Expediente: 0905/13,Expediente: 0905/13,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2021-179573&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zVEVPVjA0bzNDZjdBTUpUZmUvVG91R2VQbHdsZVJtbHVicWxJSGtHV3o3YTM1bFFaNHc3eEFiK1FLRUlEa3NsVnQrM3ZqU0hqckU3bFg5L3BqL1o0Ky9Fcll0dXNjcXVpYW9rdjU0S1VhZTM1dXZtSHlrU0RFZ0FOVzUyZU10VFdGbU1sbkY4NnNjSTNtei8wdzJWYWw5VG9IQWpVUTVnVi9ZNDkyQllZZit5cXoyZ1FHTXlsUjJMUmJ4SmJBbkFaL1h6eWdQWVFETm5qOWt2ZlJLV2dwSTBWai9pUjNOWXVNd0JwVU5RMFRaMGRlSW5tN0ZDZllUazF2QmNTN3E0c2tzelE5eGRNMlVHVFlaRWdFcW5Yc009--500,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2021-179573</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>2691 0000 06 0905 13</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>236.770,20 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9975</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>549.600,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>549.600,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>10.992,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>27.480,00 €</td>
</tr>
</table>"
SUBASTA SUB-JV-2023-210591,JUZGADO de 1a INST E INSTRUCC. 3 - ARGANDA DEL REY,Expediente: 0133/18,Expediente: 0133/18,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JV-2023-210591&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zVEVPVjA0bzNDZjdBTUpUZmUvVG91R2VQbHdsZVJtbHVicWxJSGtHV3o3YTM1bFFaNHc3eEFiK1FLRUlEa3NsVnQrM3ZqU0hqckU3bFg5L3BqL1o0Ky9Fcll0dXNjcXVpYW9rdjU0S1VhZTM1dXZtSHlrU0RFZ0FOVzUyZU10VFdGbU1sbkY4NnNjSTNtei8wdzJWYWw5VG9IQWpVUTVnVi9ZNDkyQllZZit5cXoyZ1FHTXlsUjJMUmJ4SmJBbkFaL1h6eWdQWVFETm5qOWt2ZlJLV2dwSTBWai9pUjNOWXVNd0JwVU5RMFRaMGRlSW5tN0ZDZllUazF2QmNTN3E0c2tzelE5eGRNMlVHVFlaRWdFcW5Yc009--500,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JV-2023-210591</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL VOLUNTARIA</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>2865 0000 05 0133 18</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>06-04-2023 18:00:00 CET  (ISO: 2023-04-06T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">26-04-2023 18:00:00 CET </strong> (ISO: 2023-04-26T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9789</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>170.601,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>3.412,02 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>8.530,05 €</td>
</tr>
</table>"
SUBASTA SUB-AT-2023-23R2886001055,U.R. SUBASTAS MADRID - MADRID,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-23R2886001055&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zVEVPVjA0bzNDZjdBTUpUZmUvVG91R2VQbHdsZVJtbHVicWxJSGtHV3o3YTM1bFFaNHc3eEFiK1FLRUlEa3NsVnQrM3ZqU0hqckU3bFg5L3BqL1o0Ky9Fcll0dXNjcXVpYW9rdjU0S1VhZTM1dXZtSHlrU0RFZ0FOVzUyZU10VFdGbU1sbkY4NnNjSTNtei8wdzJWYWw5VG9IQWpVUTVnVi9ZNDkyQllZZit5cXoyZ1FHTXlsUjJMUmJ4SmJBbkFaL1h6eWdQWVFETm5qOWt2ZlJLV2dwSTBWai9pUjNOWXVNd0JwVU5RMFRaMGRlSW5tN0ZDZllUazF2QmNTN3E0c2tzelE5eGRNMlVHVFlaRWdFcW5Yc009--500,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-23R2886001055</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9638</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>9.636,99 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>9.636,99 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>500,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>481,84 €</td>
</tr>
</table>"
SUBASTA SUB-AT-2023-22R2886001603,U.R. SUBASTAS MADRID - MADRID,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-22R2886001603&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zVEVPVjA0bzNDZjdBTUpUZmUvVG91R2VQbHdsZVJtbHVicWxJSGtHV3o3YTM1bFFaNHc3eEFiK1FLRUlEa3NsVnQrM3ZqU0hqckU3bFg5L3BqL1o0Ky9Fcll0dXNjcXVpYW9rdjU0S1VhZTM1dXZtSHlrU0RFZ0FOVzUyZU10VFdGbU1sbkY4NnNjSTNtei8wdzJWYWw5VG9IQWpVUTVnVi9ZNDkyQllZZit5cXoyZ1FHTXlsUjJMUmJ4SmJBbkFaL1h6eWdQWVFETm5qOWt2ZlJLV2dwSTBWai9pUjNOWXVNd0JwVU5RMFRaMGRlSW5tN0ZDZllUazF2QmNTN3E0c2tzelE5eGRNMlVHVFlaRWdFcW5Yc009--500,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-22R2886001603</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9674</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>143.306,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>143.306,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.000,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>7.165,30 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-211184,JUZGADO de 1a INSTANCIA 52 - BARCELONA,Expediente: 3087/18,Expediente: 3087/18,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-211184&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zVEVPVjA0bzNDZjdBTUpUZmUvVG91R2VQbHdsZVJtbHVicWxJSGtHV3o3YTM1bFFaNHc3eEFiK1FLRUlEa3NsVnQrM3ZqU0hqckU3bFg5L3BqL1o0Ky9Fcll0dXNjcXVpYW9rdjU0S1VhZTM1dXZtSHlrU0RFZ0FOVzUyZU10VFdGbU1sbkY4NnNjSTNtei8wdzJWYWw5VG9IQWpVUTVnVi9ZNDkyQllZZit5cXoyZ1FHTXlsUjJMUmJ4SmJBbkFaL1h6eWdQWVFETm5qOWt2ZlJLV2dwSTBWai9pUjNOWXVNd0JwVU5RMFRaMGRlSW5tN0ZDZllUazF2QmNTN3E0c2tzelE5eGRNMlVHVFlaRWdFcW5Yc009--500,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-211184</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>0974 0000 06 3087 18</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>43.602.273,32 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9416</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>63.787,46 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.275,74 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>3.189,37 €</td>
</tr>
</table>"
