titulo,donde,expediente,descripcion,link,datos_tabla
SUBASTA SUB-JA-2022-202352 (3 lotes),JUZGADO de 1a INSTANCIA 15 - MALAGA,Expediente: 0124/12,Expediente: 0124/12,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-202352&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXb3dkRk1MS0JGQzlUVFUvaVMwaTNFS3BxenZtYUFZOUNiVFRGcmlDaHFoQXFUUGVCZytMZTNNc0hsd2VmeEFYY0tGYUNOSGdWSmVtY3NMbXFMY1ljRXlVQ045S3VmdG9pTEtqSlZnejZhd3FyTVFPY09MUmV6Umc5QXZmYTJQVW0xdjVxc2FmWVRmRDRUMWxaOTk1M05aZXA1YS9RZkFoNEdEb1E0cmVMRTVKVnNpbFdNaFhpSkY3YzYvMFlVZGlXZ1VFL0J6SkdNMnZibzhhTXprVC9yOEsyL2ZRMzM1REJrNEovK1hMS2VNamloNkJOSG56Q2o4UWZnVTByZmRVR01wM3ExRGVLeFdpeURjMHNJQnNpUFU9--350,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-202352</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3033 0000 06 0124 12</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>537.705,40 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>3</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9970</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
SUBASTA SUB-JA-2023-209656,JUZGADO de 1a INSTANCIA 1 - MARBELLA,Expediente: 0244/14,Expediente: 0244/14,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-209656&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXb3dkRk1MS0JGQzlUVFUvaVMwaTNFS3BxenZtYUFZOUNiVFRGcmlDaHFoQXFUUGVCZytMZTNNc0hsd2VmeEFYY0tGYUNOSGdWSmVtY3NMbXFMY1ljRXlVQ045S3VmdG9pTEtqSlZnejZhd3FyTVFPY09MUmV6Umc5QXZmYTJQVW0xdjVxc2FmWVRmRDRUMWxaOTk1M05aZXA1YS9RZkFoNEdEb1E0cmVMRTVKVnNpbFdNaFhpSkY3YzYvMFlVZGlXZ1VFL0J6SkdNMnZibzhhTXprVC9yOEsyL2ZRMzM1REJrNEovK1hMS2VNamloNkJOSG56Q2o4UWZnVTByZmRVR01wM3ExRGVLeFdpeURjMHNJQnNpUFU9--350,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-209656</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>2993 0000 05 0244 14</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>8.437,77 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9972</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>13.580,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>13.580,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>271,60 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>679,00 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210901,JUZGADO de 1a INST E INSTRUCC. 3 - ANTEQUERA,Expediente: 0837/21,Expediente: 0837/21,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210901&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXb3dkRk1MS0JGQzlUVFUvaVMwaTNFS3BxenZtYUFZOUNiVFRGcmlDaHFoQXFUUGVCZytMZTNNc0hsd2VmeEFYY0tGYUNOSGdWSmVtY3NMbXFMY1ljRXlVQ045S3VmdG9pTEtqSlZnejZhd3FyTVFPY09MUmV6Umc5QXZmYTJQVW0xdjVxc2FmWVRmRDRUMWxaOTk1M05aZXA1YS9RZkFoNEdEb1E0cmVMRTVKVnNpbFdNaFhpSkY3YzYvMFlVZGlXZ1VFL0J6SkdNMnZibzhhTXprVC9yOEsyL2ZRMzM1REJrNEovK1hMS2VNamloNkJOSG56Q2o4UWZnVTByZmRVR01wM3ExRGVLeFdpeURjMHNJQnNpUFU9--350,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210901</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>2905 0000 06 0837 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>62.197,79 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9944</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>148.587,78 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.971,76 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>7.429,39 €</td>
</tr>
</table>"
SUBASTA SUB-RC-2023-2959000122M11,Agencia Pública de Servicios Económicos Provinciales de Málaga-Patronato de Recaudación Provincial - Málaga,Estado: Celebrándose - [Conclusión prevista: 26/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 26/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-RC-2023-2959000122M11&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXb3dkRk1MS0JGQzlUVFUvaVMwaTNFS3BxenZtYUFZOUNiVFRGcmlDaHFoQXFUUGVCZytMZTNNc0hsd2VmeEFYY0tGYUNOSGdWSmVtY3NMbXFMY1ljRXlVQ045S3VmdG9pTEtqSlZnejZhd3FyTVFPY09MUmV6Umc5QXZmYTJQVW0xdjVxc2FmWVRmRDRUMWxaOTk1M05aZXA1YS9RZkFoNEdEb1E0cmVMRTVKVnNpbFdNaFhpSkY3YzYvMFlVZGlXZ1VFL0J6SkdNMnZibzhhTXprVC9yOEsyL2ZRMzM1REJrNEovK1hMS2VNamloNkJOSG56Q2o4UWZnVTByZmRVR01wM3ExRGVLeFdpeURjMHNJQnNpUFU9--350,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-RC-2023-2959000122M11</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>RECAUDACIÓN TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>06-04-2023 18:00:00 CET  (ISO: 2023-04-06T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">26-04-2023 18:00:00 CET </strong> (ISO: 2023-04-26T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9921</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>173.200,44 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>226.865,10 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>86.600,22 €</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>3.464,01 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>8.660,02 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210772,JUZGADO de 1a INST E INSTRUCC. 1 - TORROX,Expediente: 0471/21,Expediente: 0471/21,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210772&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXb3dkRk1MS0JGQzlUVFUvaVMwaTNFS3BxenZtYUFZOUNiVFRGcmlDaHFoQXFUUGVCZytMZTNNc0hsd2VmeEFYY0tGYUNOSGdWSmVtY3NMbXFMY1ljRXlVQ045S3VmdG9pTEtqSlZnejZhd3FyTVFPY09MUmV6Umc5QXZmYTJQVW0xdjVxc2FmWVRmRDRUMWxaOTk1M05aZXA1YS9RZkFoNEdEb1E0cmVMRTVKVnNpbFdNaFhpSkY3YzYvMFlVZGlXZ1VFL0J6SkdNMnZibzhhTXprVC9yOEsyL2ZRMzM1REJrNEovK1hMS2VNamloNkJOSG56Q2o4UWZnVTByZmRVR01wM3ExRGVLeFdpeURjMHNJQnNpUFU9--350,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210772</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3005 0000 06 0471 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>06-04-2023 18:00:00 CET  (ISO: 2023-04-06T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">26-04-2023 18:00:00 CET </strong> (ISO: 2023-04-26T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>16.805,44 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9831</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>135.513,18 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.710,26 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>6.775,65 €</td>
</tr>
</table>"
SUBASTA SUB-RC-2023-2959000123M01 (3 lotes),Agencia Pública de Servicios Económicos Provinciales de Málaga-Patronato de Recaudación Provincial - Málaga,Estado: Celebrándose - [Conclusión prevista: 26/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 26/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-RC-2023-2959000123M01&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXb3dkRk1MS0JGQzlUVFUvaVMwaTNFS3BxenZtYUFZOUNiVFRGcmlDaHFoQXFUUGVCZytMZTNNc0hsd2VmeEFYY0tGYUNOSGdWSmVtY3NMbXFMY1ljRXlVQ045S3VmdG9pTEtqSlZnejZhd3FyTVFPY09MUmV6Umc5QXZmYTJQVW0xdjVxc2FmWVRmRDRUMWxaOTk1M05aZXA1YS9RZkFoNEdEb1E0cmVMRTVKVnNpbFdNaFhpSkY3YzYvMFlVZGlXZ1VFL0J6SkdNMnZibzhhTXprVC9yOEsyL2ZRMzM1REJrNEovK1hMS2VNamloNkJOSG56Q2o4UWZnVTByZmRVR01wM3ExRGVLeFdpeURjMHNJQnNpUFU9--350,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-RC-2023-2959000123M01</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>RECAUDACIÓN TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>06-04-2023 18:00:00 CET  (ISO: 2023-04-06T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">26-04-2023 18:00:00 CET </strong> (ISO: 2023-04-26T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>3</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9922</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
SUBASTA SUB-JA-2023-211143 (2 lotes),JUZGADO de 1a INSTANCIA 3 - TORREMOLINOS,Expediente: 0435/10,Expediente: 0435/10,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-211143&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXb3dkRk1MS0JGQzlUVFUvaVMwaTNFS3BxenZtYUFZOUNiVFRGcmlDaHFoQXFUUGVCZytMZTNNc0hsd2VmeEFYY0tGYUNOSGdWSmVtY3NMbXFMY1ljRXlVQ045S3VmdG9pTEtqSlZnejZhd3FyTVFPY09MUmV6Umc5QXZmYTJQVW0xdjVxc2FmWVRmRDRUMWxaOTk1M05aZXA1YS9RZkFoNEdEb1E0cmVMRTVKVnNpbFdNaFhpSkY3YzYvMFlVZGlXZ1VFL0J6SkdNMnZibzhhTXprVC9yOEsyL2ZRMzM1REJrNEovK1hMS2VNamloNkJOSG56Q2o4UWZnVTByZmRVR01wM3ExRGVLeFdpeURjMHNJQnNpUFU9--350,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-211143</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3113 0000 05 0435 10</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>06-04-2023 18:00:00 CET  (ISO: 2023-04-06T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">26-04-2023 18:00:00 CET </strong> (ISO: 2023-04-26T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>1.400.241,36 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>2</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9830</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
SUBASTA SUB-JA-2022-200925,JUZGADO de 1a INSTANCIA 13 - MALAGA,Expediente: 0921/21,Expediente: 0921/21,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-200925&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXb3dkRk1MS0JGQzlUVFUvaVMwaTNFS3BxenZtYUFZOUNiVFRGcmlDaHFoQXFUUGVCZytMZTNNc0hsd2VmeEFYY0tGYUNOSGdWSmVtY3NMbXFMY1ljRXlVQ045S3VmdG9pTEtqSlZnejZhd3FyTVFPY09MUmV6Umc5QXZmYTJQVW0xdjVxc2FmWVRmRDRUMWxaOTk1M05aZXA1YS9RZkFoNEdEb1E0cmVMRTVKVnNpbFdNaFhpSkY3YzYvMFlVZGlXZ1VFL0J6SkdNMnZibzhhTXprVC9yOEsyL2ZRMzM1REJrNEovK1hMS2VNamloNkJOSG56Q2o4UWZnVTByZmRVR01wM3ExRGVLeFdpeURjMHNJQnNpUFU9--350,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-200925</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3029 0000 06 0921 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>197.966,92 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9486</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>342.069,25 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>6.841,38 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>17.103,46 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210410,JUZGADO de 1a INSTANCIA 10 - MALAGA,Expediente: 0183/21,Expediente: 0183/21,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210410&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXb3dkRk1MS0JGQzlUVFUvaVMwaTNFS3BxenZtYUFZOUNiVFRGcmlDaHFoQXFUUGVCZytMZTNNc0hsd2VmeEFYY0tGYUNOSGdWSmVtY3NMbXFMY1ljRXlVQ045S3VmdG9pTEtqSlZnejZhd3FyTVFPY09MUmV6Umc5QXZmYTJQVW0xdjVxc2FmWVRmRDRUMWxaOTk1M05aZXA1YS9RZkFoNEdEb1E0cmVMRTVKVnNpbFdNaFhpSkY3YzYvMFlVZGlXZ1VFL0J6SkdNMnZibzhhTXprVC9yOEsyL2ZRMzM1REJrNEovK1hMS2VNamloNkJOSG56Q2o4UWZnVTByZmRVR01wM3ExRGVLeFdpeURjMHNJQnNpUFU9--350,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210410</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>2961 0000 05 0183 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>82.804,68 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9482</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>111.163,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.223,26 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>5.558,15 €</td>
</tr>
</table>"
SUBASTA SUB-AT-2023-22R4186001703,U.R. SUBASTAS ANDALUCIA 41 - SEVILLA,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-22R4186001703&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXb3dkRk1MS0JGQzlUVFUvaVMwaTNFS3BxenZtYUFZOUNiVFRGcmlDaHFoQXFUUGVCZytMZTNNc0hsd2VmeEFYY0tGYUNOSGdWSmVtY3NMbXFMY1ljRXlVQ045S3VmdG9pTEtqSlZnejZhd3FyTVFPY09MUmV6Umc5QXZmYTJQVW0xdjVxc2FmWVRmRDRUMWxaOTk1M05aZXA1YS9RZkFoNEdEb1E0cmVMRTVKVnNpbFdNaFhpSkY3YzYvMFlVZGlXZ1VFL0J6SkdNMnZibzhhTXprVC9yOEsyL2ZRMzM1REJrNEovK1hMS2VNamloNkJOSG56Q2o4UWZnVTByZmRVR01wM3ExRGVLeFdpeURjMHNJQnNpUFU9--350,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-22R4186001703</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9684</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>187.537,60 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>187.537,60 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.000,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>9.376,88 €</td>
</tr>
</table>"
